"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61919,1.7264e+05,0,1.5331e-05,1.4417,280.44,-0.13314,0,43651,-8.087e+17,0,0,0,237.37,0,,32.018,23.918,0,0
0.62264,1.735e+05,0,1.5361e-05,1.4359,281.22,-0.20872,0,43999,-8.0376e+17,0,0,0,237.93,0,,32.091,23.991,0,0
0.62682,1.7457e+05,0,1.5396e-05,1.4293,282.18,-0.2668,0,44419,-7.9779e+17,0,0,0,238.6,0,,32.164,24.064,0,0
0.63171,1.758e+05,0,1.5437e-05,1.4216,283.3,-0.31305,0,44909,-7.9084e+17,0,0,0,239.37,0,,32.237,24.137,0,0
0.63777,1.7734e+05,0,1.5487e-05,1.4121,284.68,-0.23419,0,45521,-7.8215e+17,0,0,0,240.32,0,,32.31,24.21,0,0
0.64546,1.7933e+05,0,1.5551e-05,1.4005,286.47,-0.22727,0,46303,-7.7104e+17,0,0,0,241.54,0,,32.383,24.283,0,0
0.65615,1.8196e+05,0,1.5633e-05,1.3841,288.73,-0.27949,0,47375,-7.5582e+17,0,0,0,243.1,0,,32.456,24.356,0,0
0.67006,1.853e+05,0,1.5741e-05,1.3616,291.3,-0.31446,0,48793,-7.3568e+17,0,0,0,245.18,0,,32.53,24.43,0,0
0.69286,1.9061e+05,0,1.5903e-05,1.3258,295.1,-0.60483,0,51103,-7.0289e+17,0,0,0,248.31,0,,32.603,24.503,0,0
0.76576,2.0677e+05,0,1.6408e-05,1.2082,303.03,-1.5398,0,58720,-5.9472e+17,0,0,0,258.16,0,,32.676,24.576,0,0
0.88953,2.3503e+05,0,1.7272e-05,1.0213,305.34,0.96912,0,72943,-3.9274e+17,0,0,0,275.48,0,,32.749,24.649,0,0
0.98984,2.5819e+05,0,1.7875e-05,0.88725,302.4,1.6904,0,84716,-2.2555e+17,0,0,0,287.82,0,,32.822,24.722,0,0
1.0577,2.7401e+05,0,1.8241e-05,0.80409,297.74,1.4248,0,92821,-1.1047e+17,0,0,0,295.41,0,,32.895,24.795,0,0
1.0954,2.8292e+05,0,1.8436e-05,0.75905,293.38,0.94753,0,97450,-4.473e+16,0,0,0,299.52,0,,32.968,24.868,0,0
1.1146,2.8747e+05,0,1.8548e-05,0.7335,289.65,0.68675,0,99935,-9.45e+15,0,0,0,301.88,0,,33.041,24.941,0,0
1.126,2.901e+05,0,1.8623e-05,0.71546,286.17,0.60913,0,1.0149e+05,1.2679e+16,0,0,0,303.47,0,,33.114,25.014,0,0
1.1365,2.924e+05,0,1.8691e-05,0.69796,282.42,0.59235,0,1.0292e+05,3.2989e+16,0,0,0,304.91,0,,33.187,25.087,0,0
1.1474,2.9485e+05,0,1.8755e-05,0.68134,278.95,0.72853,0,1.0437e+05,5.3594e+16,0,0,0,306.29,0,,33.26,25.16,0,0
1.1581,2.9729e+05,0,1.8815e-05,0.66567,275.64,0.96126,0,1.0579e+05,7.3694e+16,0,0,0,307.56,0,,33.334,25.234,0,0
1.1678,2.994e+05,0,1.8866e-05,0.65079,272.18,1.1828,0,1.0706e+05,9.1784e+16,0,0,0,308.66,0,,33.407,25.307,0,0
