,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
836,0.75884,210240.0,0,1.547e-05,1.4075,337.4,0.21829,0,54091.0,-6.6045e+17,0,0,0,240.0,0,,61.112,53.012,0,0,166386.7815994443,0.9994713552415484
837,0.75938,210380.0,0,1.5473e-05,1.407,337.56,0.13461,0,54141.0,-6.5974e+17,0,0,0,240.06,0,,61.185,53.085,0,0,166445.33410302218,0.9994715285105803
838,0.76065,210710.0,0,1.5482e-05,1.4054,337.86,0.024033,0,54272.0,-6.5788e+17,0,0,0,240.24,0,,61.258,53.158,0,0,166542.76682418253,0.9994722362075129
839,0.76204,211080.0,0,1.5493e-05,1.4036,338.18,-0.091019,0,54417.0,-6.5583e+17,0,0,0,240.44,0,,61.331,53.231,0,0,166643.81211890306,0.999473032318615
840,0.76343,211450.0,0,1.5503e-05,1.4018,338.5,-0.20607,0,54561.0,-6.5377e+17,0,0,0,240.63,0,,61.404,53.304,0,0,166740.46588872976,0.9994737326787988
841,0.76539,211970.0,0,1.5518e-05,1.3994,338.98,-0.30348,0,54764.0,-6.509e+17,0,0,0,240.91,0,,61.477,53.377,0,0,166900.82458281232,0.9994748612879032
842,0.76757,212560.0,0,1.5533e-05,1.3967,339.52,-0.39456,0,54987.0,-6.4772e+17,0,0,0,241.21,0,,61.55,53.45,0,0,167061.88669519892,0.9994760279815005
843,0.76974,213140.0,0,1.5549e-05,1.3941,340.05,-0.48565,0,55211.0,-6.4455e+17,0,0,0,241.5,0,,61.623,53.523,0,0,167242.13833708677,0.9994770862149132
844,0.77213,213790.0,0,1.5565e-05,1.3915,340.68,-0.54179,0,55455.0,-6.4108e+17,0,0,0,241.82,0,,61.696,53.596,0,0,167479.81028359104,0.9994782963168772
845,0.77467,214490.0,0,1.5582e-05,1.3887,341.36,-0.57601,0,55713.0,-6.3742e+17,0,0,0,242.15,0,,61.77,53.669,0,0,167717.66202492232,0.9994794980834074
