"Mach","Result","x","Points:0","Points:1","Points:2"
3.5321,0.96088,1.6216,10.54,0,0
3.5394,0.96081,1.6329,10.614,0,0
3.5458,0.96075,1.6441,10.687,0,0
3.5513,0.96069,1.6554,10.76,0,0
3.5556,0.9606,1.6666,10.833,0,0
2.5535,0.42637,1.6778,10.906,0,0
0.47977,0.16628,1.6891,10.979,0,0
0.21066,0.17628,1.7003,11.052,0,0
0.083669,0.17689,1.7116,11.125,0,0
0.039279,0.17891,1.7228,11.198,0,0
0.078242,0.18272,1.7341,11.271,0,0
0.12647,0.18762,1.7453,11.345,0,0
0.15507,0.19297,1.7566,11.418,0,0
0.16481,0.19832,1.7678,11.491,0,0
0.15729,0.20331,1.7791,11.564,0,0
0.13921,0.20796,1.7903,11.637,0,0
0.11491,0.21243,1.8016,11.71,0,0
0.086613,0.21703,1.8128,11.783,0,0
0.057666,0.22149,1.824,11.856,0,0
0.030695,0.22575,1.8353,11.929,0,0
0.0074633,0.22991,1.8465,12.002,0,0
0.031695,0.2341,1.8578,12.076,0,0
0.060707,0.2383,1.869,12.149,0,0
0.090987,0.2425,1.8803,12.222,0,0
0.12153,0.24669,1.8915,12.295,0,0
0.15188,0.25088,1.9028,12.368,0,0
0.18177,0.25508,1.914,12.441,0,0
0.21089,0.2593,1.9253,12.514,0,0
0.23814,0.26348,1.9365,12.587,0,0
0.26238,0.26733,1.9478,12.66,0,0
0.28543,0.27107,1.959,12.733,0,0
0.30748,0.27483,1.9702,12.807,0,0
0.32907,0.27865,1.9815,12.88,0,0
0.35027,0.28252,1.9927,12.953,0,0
0.37116,0.28648,2.004,13.026,0,0
0.39203,0.29049,2.0152,13.099,0,0
0.41289,0.29456,2.0265,13.172,0,0
0.43373,0.29873,2.0377,13.245,0,0
0.45427,0.30287,2.049,13.318,0,0
0.47272,0.30657,2.0602,13.391,0,0
0.49113,0.31026,2.0715,13.464,0,0
0.50942,0.31391,2.0827,13.538,0,0
0.52754,0.31758,2.094,13.611,0,0
0.54541,0.32127,2.1052,13.684,0,0
0.56306,0.32498,2.1164,13.757,0,0
0.58055,0.3287,2.1277,13.83,0,0
0.59783,0.33246,2.1389,13.903,0,0
0.61504,0.33623,2.1502,13.976,0,0
0.63132,0.33982,2.1614,14.049,0,0
0.64745,0.34337,2.1727,14.122,0,0
0.66295,0.34674,2.1839,14.195,0,0
0.67835,0.35008,2.1952,14.269,0,0
0.69374,0.3534,2.2064,14.342,0,0
0.70912,0.35671,2.2177,14.415,0,0
0.72438,0.36002,2.2289,14.488,0,0
0.73957,0.36334,2.2402,14.561,0,0
0.75463,0.36666,2.2514,14.634,0,0
0.76961,0.36998,2.2626,14.707,0,0
0.78408,0.37319,2.2739,14.78,0,0
0.79796,0.37627,2.2851,14.853,0,0
0.8118,0.37932,2.2964,14.926,0,0
0.82547,0.38229,2.3076,15,0,0
0.83913,0.38525,2.3189,15.073,0,0
0.85275,0.3882,2.3301,15.146,0,0
0.86637,0.39114,2.3414,15.219,0,0
0.88003,0.39407,2.3526,15.292,0,0
0.89375,0.39699,2.3639,15.365,0,0
0.90744,0.39989,2.3751,15.438,0,0
0.9209,0.40267,2.3864,15.511,0,0
0.93435,0.40545,2.3976,15.584,0,0
0.94768,0.4081,2.4088,15.657,0,0
0.96094,0.4107,2.4201,15.731,0,0
0.97425,0.41328,2.4313,15.804,0,0
0.98814,0.41582,2.4426,15.877,0,0
1.002,0.41835,2.4538,15.95,0,0
1.0162,0.42087,2.4651,16.023,0,0
1.0308,0.42335,2.4763,16.096,0,0
1.0453,0.42584,2.4876,16.169,0,0
1.0599,0.42818,2.4988,16.242,0,0
1.0744,0.43049,2.5101,16.315,0,0
1.089,0.43279,2.5213,16.389,0,0
1.1038,0.43495,2.5326,16.462,0,0
1.1186,0.43711,2.5438,16.535,0,0
1.1337,0.43925,2.555,16.608,0,0
1.1493,0.44133,2.5663,16.681,0,0
1.1649,0.44341,2.5775,16.754,0,0
1.181,0.44546,2.5888,16.827,0,0
1.1977,0.44749,2.6,16.9,0,0
1.2144,0.44951,2.6113,16.973,0,0
1.2307,0.45142,2.6225,17.046,0,0
1.2465,0.45325,2.6338,17.119,0,0
1.2624,0.45508,2.645,17.193,0,0
1.2784,0.45686,2.6563,17.266,0,0
1.2946,0.4586,2.6675,17.339,0,0
1.3108,0.46033,2.6788,17.412,0,0
1.3271,0.46203,2.69,17.485,0,0
1.3438,0.46367,2.7012,17.558,0,0
1.3604,0.4653,2.7125,17.631,0,0
1.3769,0.46689,2.7237,17.704,0,0
1.3929,0.46833,2.735,17.777,0,0
1.409,0.46978,2.7462,17.851,0,0
1.425,0.47122,2.7575,17.924,0,0
1.4409,0.47253,2.7687,17.997,0,0
1.4567,0.47384,2.78,18.07,0,0
1.4726,0.47515,2.7912,18.143,0,0
1.4887,0.4764,2.8025,18.216,0,0
1.5049,0.47762,2.8137,18.289,0,0
1.5212,0.47884,2.825,18.362,0,0
1.5372,0.48001,2.8362,18.435,0,0
1.5529,0.48108,2.8474,18.508,0,0
1.5686,0.48215,2.8587,18.581,0,0
1.5843,0.48322,2.8699,18.655,0,0
1.5999,0.4842,2.8812,18.728,0,0
1.6154,0.48516,2.8924,18.801,0,0
1.6309,0.48613,2.9037,18.874,0,0
1.6464,0.48708,2.9149,18.947,0,0
1.662,0.48797,2.9262,19.02,0,0
1.6776,0.48885,2.9374,19.093,0,0
1.6932,0.48974,2.9487,19.166,0,0
1.7081,0.49056,2.9599,19.239,0,0
1.7226,0.49132,2.9712,19.312,0,0
1.7371,0.49208,2.9824,19.386,0,0
1.7517,0.49284,2.9936,19.459,0,0
1.7658,0.49356,3.0049,19.532,0,0
1.7799,0.49426,3.0161,19.605,0,0
1.794,0.49496,3.0274,19.678,0,0
1.8081,0.49567,3.0386,19.751,0,0
1.8217,0.49632,3.0499,19.824,0,0
1.8352,0.49697,3.0611,19.897,0,0
1.8488,0.49762,3.0724,19.97,0,0
1.8623,0.49827,3.0836,20.043,0,0
1.8748,0.49884,3.0949,20.117,0,0
1.8873,0.49942,3.1061,20.19,0,0
1.8998,0.5,3.1174,20.263,0,0
1.9123,0.50058,3.1286,20.336,0,0
1.9244,0.50115,3.1398,20.409,0,0
1.9364,0.50171,3.1511,20.482,0,0
1.9484,0.50227,3.1623,20.555,0,0
1.9604,0.50283,3.1736,20.628,0,0
1.9715,0.50335,3.1848,20.701,0,0
1.9823,0.50387,3.1961,20.774,0,0
1.9932,0.50438,3.2073,20.848,0,0
2.004,0.5049,3.2186,20.921,0,0
2.0144,0.5054,3.2298,20.994,0,0
2.0244,0.50591,3.2411,21.067,0,0
2.0344,0.50641,3.2523,21.14,0,0
2.0444,0.50692,3.2636,21.213,0,0
2.0541,0.50742,3.2748,21.286,0,0
2.063,0.50791,3.286,21.359,0,0
2.0718,0.50841,3.2973,21.432,0,0
2.0807,0.5089,3.3085,21.505,0,0
2.0895,0.50939,3.3198,21.579,0,0
2.0973,0.50988,3.331,21.652,0,0
2.1048,0.51036,3.3423,21.725,0,0
2.1123,0.51085,3.3535,21.798,0,0
2.1197,0.51133,3.3648,21.871,0,0
2.127,0.51182,3.376,21.944,0,0
2.1329,0.51231,3.3873,22.017,0,0
2.1388,0.5128,3.3985,22.09,0,0
2.1447,0.51329,3.4098,22.163,0,0
2.1506,0.51378,3.421,22.236,0,0
2.1556,0.51426,3.4322,22.31,0,0
2.1594,0.51474,3.4435,22.383,0,0
2.1633,0.51521,3.4547,22.456,0,0
2.1671,0.51569,3.466,22.529,0,0
2.171,0.51616,3.4772,22.602,0,0
2.1732,0.51662,3.4885,22.675,0,0
2.1745,0.51707,3.4997,22.748,0,0
2.1757,0.51752,3.511,22.821,0,0
2.177,0.51796,3.5222,22.894,0,0
2.1783,0.51841,3.5335,22.968,0,0
2.1771,0.51879,3.5447,23.041,0,0
2.1749,0.51914,3.556,23.114,0,0
2.1728,0.51949,3.5672,23.187,0,0
2.1707,0.51985,3.5784,23.26,0,0
2.1686,0.5202,3.5897,23.333,0,0
2.1635,0.52042,3.6009,23.406,0,0
2.1568,0.52058,3.6122,23.479,0,0
2.1501,0.52074,3.6234,23.552,0,0
2.1435,0.52089,3.6347,23.625,0,0
2.1368,0.52105,3.6459,23.698,0,0
2.1271,0.52103,3.6572,23.772,0,0
2.1148,0.52085,3.6684,23.845,0,0
2.1024,0.52067,3.6797,23.918,0,0
2.0901,0.52049,3.6909,23.991,0,0
2.0778,0.52031,3.7022,24.064,0,0
2.0641,0.52005,3.7134,24.137,0,0
2.0448,0.51942,3.7246,24.21,0,0
2.0255,0.51879,3.7359,24.283,0,0
2.0062,0.51815,3.7471,24.356,0,0
1.9869,0.51752,3.7584,24.43,0,0
1.9676,0.51689,3.7696,24.503,0,0
1.9433,0.51603,3.7809,24.576,0,0
1.9177,0.51511,3.7921,24.649,0,0
1.892,0.51418,3.8034,24.722,0,0
1.8663,0.51326,3.8146,24.795,0,0
1.8407,0.51233,3.8259,24.868,0,0
1.8143,0.51142,3.8371,24.941,0,0
1.7847,0.5106,3.8484,25.014,0,0
1.7551,0.50977,3.8596,25.087,0,0
1.7255,0.50894,3.8708,25.16,0,0
1.6959,0.50812,3.8821,25.234,0,0
1.6663,0.50729,3.8933,25.307,0,0
1.6376,0.50679,3.9046,25.38,0,0
1.6099,0.50664,3.9158,25.453,0,0
1.5822,0.50649,3.9271,25.526,0,0
1.5544,0.50633,3.9383,25.599,0,0
1.5267,0.50618,3.9496,25.672,0,0
1.499,0.50603,3.9608,25.745,0,0
1.4758,0.50631,3.9721,25.818,0,0
1.4551,0.50682,3.9833,25.892,0,0
1.4343,0.50733,3.9946,25.965,0,0
1.4135,0.50784,4.0058,26.038,0,0
1.3928,0.50835,4.017,26.111,0,0
1.372,0.50886,4.0283,26.184,0,0
1.3558,0.50949,4.0395,26.257,0,0
1.3422,0.51021,4.0508,26.33,0,0
1.3286,0.51092,4.062,26.403,0,0
1.3151,0.51164,4.0733,26.476,0,0
1.3015,0.51235,4.0845,26.549,0,0
1.2879,0.51307,4.0958,26.622,0,0
1.2777,0.51373,4.107,26.696,0,0
1.2706,0.51435,4.1183,26.769,0,0
1.2634,0.51497,4.1295,26.842,0,0
1.2563,0.51559,4.1408,26.915,0,0
1.2492,0.51621,4.152,26.988,0,0
1.2421,0.51683,4.1632,27.061,0,0
1.2358,0.51742,4.1745,27.134,0,0
1.2332,0.51786,4.1857,27.207,0,0
1.2306,0.51831,4.197,27.28,0,0
1.2281,0.51875,4.2082,27.354,0,0
1.2255,0.5192,4.2195,27.427,0,0
1.2229,0.51964,4.2307,27.5,0,0
1.2203,0.52009,4.242,27.573,0,0
1.22,0.52042,4.2532,27.646,0,0
1.2206,0.52072,4.2645,27.719,0,0
1.2211,0.52102,4.2757,27.792,0,0
1.2216,0.52131,4.287,27.865,0,0
1.2222,0.52161,4.2982,27.938,0,0
1.2227,0.5219,4.3094,28.011,0,0
1.2236,0.52218,4.3207,28.084,0,0
1.2263,0.52237,4.3319,28.158,0,0
1.229,0.52255,4.3432,28.231,0,0
1.2318,0.52274,4.3544,28.304,0,0
1.2345,0.52292,4.3657,28.377,0,0
1.2372,0.52311,4.3769,28.45,0,0
1.2399,0.52329,4.3882,28.523,0,0
1.2433,0.52344,4.3994,28.596,0,0
1.2477,0.52354,4.4107,28.669,0,0
1.2521,0.52364,4.4219,28.742,0,0
1.2565,0.52375,4.4332,28.816,0,0
1.2609,0.52385,4.4444,28.889,0,0
1.2653,0.52395,4.4556,28.962,0,0
1.2697,0.52405,4.4669,29.035,0,0
1.2748,0.52411,4.4781,29.108,0,0
1.2805,0.52413,4.4894,29.181,0,0
1.2862,0.52416,4.5006,29.254,0,0
1.2918,0.52418,4.5119,29.327,0,0
1.2975,0.52421,4.5231,29.4,0,0
1.3032,0.52424,4.5344,29.473,0,0
1.3088,0.52426,4.5456,29.546,0,0
1.3153,0.52423,4.5569,29.62,0,0
1.3219,0.52419,4.5681,29.693,0,0
1.3285,0.52414,4.5794,29.766,0,0
1.3352,0.5241,4.5906,29.839,0,0
1.3418,0.52405,4.6018,29.912,0,0
1.3484,0.52401,4.6131,29.985,0,0
1.3551,0.52396,4.6243,30.058,0,0
1.3623,0.52385,4.6356,30.131,0,0
1.3696,0.52374,4.6468,30.204,0,0
1.3769,0.52362,4.6581,30.278,0,0
1.3842,0.52351,4.6693,30.351,0,0
1.3915,0.5234,4.6806,30.424,0,0
1.3988,0.52328,4.6918,30.497,0,0
1.4061,0.52316,4.7031,30.57,0,0
1.4138,0.52299,4.7143,30.643,0,0
1.4215,0.52281,4.7256,30.716,0,0
1.4292,0.52264,4.7368,30.789,0,0
1.4368,0.52247,4.748,30.862,0,0
1.4445,0.52229,4.7593,30.935,0,0
1.4522,0.52212,4.7705,31.008,0,0
1.4599,0.52193,4.7818,31.082,0,0
1.4677,0.52171,4.793,31.155,0,0
1.4756,0.52148,4.8043,31.228,0,0
1.4834,0.52126,4.8155,31.301,0,0
1.4912,0.52104,4.8268,31.374,0,0
1.4991,0.52081,4.838,31.447,0,0
1.5069,0.52059,4.8493,31.52,0,0
1.5147,0.52035,4.8605,31.593,0,0
1.5225,0.52009,4.8718,31.666,0,0
1.5303,0.51983,4.883,31.74,0,0
1.5381,0.51958,4.8942,31.813,0,0
1.5459,0.51932,4.9055,31.886,0,0
1.5538,0.51906,4.9167,31.959,0,0
1.5616,0.5188,4.928,32.032,0,0
1.5693,0.51854,4.9392,32.105,0,0
1.577,0.51826,4.9505,32.178,0,0
1.5847,0.51799,4.9617,32.251,0,0
1.5924,0.51772,4.973,32.324,0,0
1.6001,0.51745,4.9842,32.397,0,0
1.6078,0.51718,4.9955,32.471,0,0
1.6155,0.5169,5.0067,32.544,0,0
1.6229,0.51663,5.018,32.617,0,0
1.6303,0.51636,5.0292,32.69,0,0
1.6377,0.51609,5.0404,32.763,0,0
1.645,0.51581,5.0517,32.836,0,0
1.6524,0.51554,5.0629,32.909,0,0
1.6597,0.51527,5.0742,32.982,0,0
1.6671,0.515,5.0854,33.055,0,0
1.6739,0.51472,5.0967,33.128,0,0
1.6806,0.51445,5.1079,33.201,0,0
1.6874,0.51418,5.1192,33.275,0,0
1.6941,0.51391,5.1304,33.348,0,0
1.7009,0.51364,5.1417,33.421,0,0
1.7076,0.51337,5.1529,33.494,0,0
1.7143,0.5131,5.1642,33.567,0,0
1.7203,0.51283,5.1754,33.64,0,0
1.7263,0.51257,5.1866,33.713,0,0
1.7322,0.5123,5.1979,33.786,0,0
1.7382,0.51204,5.2091,33.859,0,0
1.7442,0.51177,5.2204,33.932,0,0
1.7502,0.51151,5.2316,34.006,0,0
1.7559,0.51124,5.2429,34.079,0,0
1.7609,0.51099,5.2541,34.152,0,0
1.766,0.51073,5.2654,34.225,0,0
1.771,0.51047,5.2766,34.298,0,0
1.7761,0.51022,5.2879,34.371,0,0
1.7812,0.50996,5.2991,34.444,0,0
1.7862,0.50971,5.3104,34.517,0,0
1.7907,0.50945,5.3216,34.59,0,0
1.7947,0.5092,5.3328,34.664,0,0
1.7986,0.50895,5.3441,34.737,0,0
1.8026,0.5087,5.3553,34.81,0,0
