,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
604,0.0040107,998.24,0,1.1169e-05,1.9291,2.0212,0.0087635,0,195.56,-1405300.0,0,0,0,164.17,0,,0.059506,0.038986,0,0,1370.2190871755736,1033.0123636900237,3735.4555545205294,297640.87534345174,0.999989716800011
605,0.0039538,985.22,0,1.112e-05,1.9404,1.9994,0.00928,0,191.87,-1405700.0,0,0,0,163.37,0,,0.059604,0.039085,0,0,1368.2957631190707,1024.385897646903,3736.0352973035438,297687.42560631013,0.9999897603502822
606,0.0038969,972.2,0,1.1072e-05,1.9518,1.9775,0.0097965,0,188.17,-1406200.0,0,0,0,162.58,0,,0.059703,0.039183,0,0,1366.038347456559,1015.4549522469714,3736.7797053187096,297760.17747183726,0.9999898095614033
607,0.0038425,959.76,0,1.1014e-05,1.9651,1.9573,0.0096178,0,184.49,-1406600.0,0,0,0,161.64,0,,0.059801,0.039282,0,0,1366.825584287319,1007.5738138556316,3736.618027342087,297762.8790717992,0.9999898326422326
608,0.0037882,947.35,0,1.0955e-05,1.9785,1.9372,0.0093943,0,180.81,-1407000.0,0,0,0,160.69,0,,0.0599,0.03938,0,0,1367.9819619567068,999.8770304855484,3736.474699673853,297793.77052711183,0.9999898572982953
609,0.0037339,934.93,0,1.0899e-05,1.9914,1.9166,0.009462,0,177.22,-1407500.0,0,0,0,159.79,0,,0.059999,0.039479,0,0,1368.212401584814,991.8053105045291,3736.5925471608844,297841.86648293736,0.9999898898874117
610,0.0036796,922.51,0,1.0848e-05,2.0037,1.8953,0.0099415,0,173.74,-1407900.0,0,0,0,158.97,0,,0.060097,0.039577,0,0,1366.7845848536103,982.9162840493127,3737.1344687640694,297908.29631252016,0.9999899347759318
611,0.0036252,910.08,0,1.0797e-05,2.016,1.874,0.010421,0,170.27,-1408300.0,0,0,0,158.14,0,,0.060196,0.039676,0,0,1365.766566954334,974.333106662586,3737.684737457704,298002.59087896,0.9999899806008832
612,0.003572,898.22,0,1.0737e-05,2.0307,1.8542,0.0093605,0,166.78,-1408700.0,0,0,0,157.19,0,,0.060294,0.039774,0,0,1368.3492125266228,966.7740600921214,3737.5721008357086,298131.18140564836,0.9999900085072602
613,0.0035189,886.43,0,1.0677e-05,2.0457,1.8345,0.0081075,0,163.29,-1409100.0,0,0,0,156.22,0,,0.060393,0.039873,0,0,1371.5248276507964,959.4048081768873,3737.4185033034246,298284.6231227862,0.9999900363553431
614,0.0034665,874.48,0,1.062e-05,2.0596,1.8142,0.0072746,0,159.9,-1409500.0,0,0,0,155.3,0,,0.060491,0.039971,0,0,1372.7245145059953,951.3339684545016,3737.509459903298,298385.253978244,0.9999900712929581
615,0.0034152,862.26,0,1.0567e-05,2.0715,1.7927,0.007177,0,156.69,-1409900.0,0,0,0,154.46,0,,0.06059,0.04007,0,0,1370.102811255248,941.9102158839679,3737.8946107436477,298332.8386184927,0.999990113728369
616,0.0033639,850.04,0,1.0514e-05,2.0834,1.7712,0.0070793,0,153.49,-1410300.0,0,0,0,153.63,0,,0.060688,0.040168,0,0,1367.4406401007711,932.4959231902307,3738.4220059085815,298318.417244587,0.9999901608913343
617,0.0033507,846.72,0,1.0487e-05,2.0887,1.7664,0.0063348,0,152.46,-1410400.0,0,0,0,153.2,0,,0.060787,0.040267,0,0,1369.8960729245032,930.7894982944413,3737.50818230174,298209.09794189356,0.9999901461447437
618,0.0033449,845.12,0,1.0465e-05,2.0928,1.7647,0.0054656,0,151.84,-1410500.0,0,0,0,152.84,0,,0.060885,0.040365,0,0,1373.0141839470366,930.2882140023139,3736.272873216659,298048.47379865707,0.9999901182612239
619,0.0033391,843.51,0,1.0443e-05,2.0969,1.763,0.0045963,0,151.23,-1410600.0,0,0,0,152.49,0,,0.060984,0.040464,0,0,1376.1007199172213,929.7550078942701,3735.085279963429,297899.21841345495,0.9999900916232316
620,0.0033333,841.9,0,1.0421e-05,2.1009,1.7613,0.003727,0,150.62,-1410600.0,0,0,0,152.14,0,,0.061082,0.040563,0,0,1379.2118630997916,929.292095418479,3733.8970427011955,297750.94313810766,0.9999900649905068
621,0.0033275,840.3,0,1.0399e-05,2.105,1.7597,0.0028578,0,150.01,-1410700.0,0,0,0,151.79,0,,0.061181,0.040661,0,0,1382.606194386459,928.945045011593,3732.7081754243827,297619.54677099583,0.9999900383641893
622,0.0033339,841.54,0,1.0388e-05,2.1063,1.7632,0.0011896,0,150.12,-1410700.0,0,0,0,151.61,0,,0.061279,0.04076,0,0,1386.617079901929,930.802567065216,3731.257048382939,297450.4458106732,0.9999899964383854
623,0.0033436,843.55,0,1.038e-05,2.107,1.7681,-0.00069364,0,150.43,-1410700.0,0,0,0,151.49,0,,0.061378,0.040858,0,0,1390.696043059182,933.0885550635132,3729.8212766751676,297289.2797396985,0.9999899525727679
624,0.003362,847.6,0,1.0391e-05,2.1033,1.7758,-0.0030469,0,151.45,-1410500.0,0,0,0,151.67,0,,0.061476,0.040957,0,0,1392.1594573994732,936.4632411312913,3729.048644202253,297157.67595678347,0.9999899194695014
625,0.0034049,857.38,0,1.0458e-05,2.0878,1.7914,-0.0067198,0,154.45,-1410200.0,0,0,0,152.72,0,,0.061575,0.041055,0,0,1385.8647119368395,942.2202047768196,3730.394608953201,297157.6798058721,0.9999899252348345
626,0.0035133,881.35,0,1.0625e-05,2.0481,1.8287,-0.012066,0,162.16,-1409300.0,0,0,0,155.38,0,,0.061673,0.041154,0,0,1366.9704519004915,954.6864916278045,3733.876441701714,296987.58444455056,0.9999899462655994
627,0.0037878,942.28,0,1.1043e-05,1.9523,1.9186,-0.016615,0,182.49,-1406800.0,0,0,0,162.12,0,,0.061772,0.041252,0,0,1323.202085119044,983.304410039646,3742.9375784604185,296815.08959574404,0.9999900323115651
628,0.0047299,1137.7,0,1.2258e-05,1.6688,2.1622,-0.031584,0,257.04,-1398000.0,0,0,0,182.33,0,,0.06187,0.041351,0,0,1195.4607290774961,1038.2368792285279,3763.3262329192753,294040.2596049191,0.9999902624385183
629,0.0071131,1627.2,0,1.4395e-05,1.1973,2.5482,-0.050053,0,467.31,-1372900.0,0,0,0,220.02,0,,0.061969,0.041449,0,0,1110.8068035982214,1103.0917384738402,3781.1134539831196,292903.6505306842,0.9999907716427444
630,0.0093534,2108.3,0,1.544e-05,0.97818,2.8849,-0.026655,0,665.29,-1349400.0,0,0,0,239.43,0,,0.062067,0.041548,0,0,1227.0627098431576,1227.0627098431576,3764.086170309943,296457.09492660564,0.9999905973720828
631,0.0098331,2230.5,0,1.5512e-05,0.97963,3.0479,0.0019925,0,703.24,-1344900.0,0,0,0,240.8,0,,0.062166,0.041646,0,0,1300.0573772476257,1300.0573772476257,3753.5410250256837,298350.24025573896,0.9999902957197565
632,0.0095124,2164.3,0,1.5305e-05,1.0241,3.0569,0.0052246,0,669.23,-1348900.0,0,0,0,236.87,0,,0.062264,0.041745,0,0,1303.046002375098,1303.0234567558546,3751.158214464862,297862.47631112696,0.9999901111382442
633,0.0090758,2074.8,0,1.5045e-05,1.0812,3.0468,0.0034167,0,625.33,-1354100.0,0,0,0,231.97,0,,0.062363,0.041843,0,0,1304.1430340432626,1303.3683865547266,3749.5800564652527,297482.1260380696,0.999989942265331
634,0.0087315,2004.9,0,1.4841e-05,1.1267,3.0298,0.0014534,0,591.69,-1358100.0,0,0,0,228.16,0,,0.062461,0.041942,0,0,1305.9874204763353,1303.2731135453912,3748.7880929685507,297375.6217541048,0.9999898379544367
635,0.0084998,1958.8,0,1.4684e-05,1.1618,3.022,0.00069781,0,568.64,-1360900.0,0,0,0,225.25,0,,0.06256,0.04204,0,0,1312.4037227488475,1307.06194647243,3747.246206044755,297350.93393483234,0.9999897333151861
636,0.0083411,1927.1,0,1.4581e-05,1.185,3.0121,0.00049133,0,553.3,-1362700.0,0,0,0,223.35,0,,0.062659,0.042139,0,0,1315.7917777675527,1308.098921501227,3746.5628757646487,297374.50738596934,0.9999896794000415
637,0.0082246,1903.8,0,1.4502e-05,1.2027,3.0046,-0.00021462,0,542.0,-1364000.0,0,0,0,221.88,0,,0.062757,0.042237,0,0,1319.0341377345806,1309.1899689583538,3745.8270922193474,297373.1286292231,0.9999896322723167
638,0.0081694,1893.9,0,1.4439e-05,1.2167,3.0113,0.00026739,0,535.58,-1364800.0,0,0,0,220.74,0,,0.062856,0.042336,0,0,1327.4622948861045,1315.6384394176227,3744.011436378716,297394.87983696925,0.9999895530732427
639,0.008121,1884.1,0,1.441e-05,1.2232,3.0059,-0.00045672,0,531.12,-1365300.0,0,0,0,220.2,0,,0.062954,0.042434,0,0,1327.8120616205929,1315.0279227459646,3743.9489737779404,297399.39506957156,0.999989543830115
640,0.0080906,1878.3,0,1.4383e-05,1.2292,3.006,-0.00073003,0,527.95,-1365700.0,0,0,0,219.71,0,,0.063053,0.042533,0,0,1330.3904714560422,1316.6581133372783,3743.411210590528,297410.383336292,0.9999895186744795
641,0.0080656,1873.7,0,1.4358e-05,1.2349,3.0074,-0.0011341,0,525.22,-1366000.0,0,0,0,219.25,0,,0.063151,0.042631,0,0,1333.4921048163299,1318.8142833819318,3742.7723151236414,297425.4661708707,0.9999894904368654
642,0.0080457,1870.4,0,1.4332e-05,1.241,3.0113,-0.0013958,0,522.76,-1366300.0,0,0,0,218.77,0,,0.06325,0.04273,0,0,1337.8861273429452,1322.141986322986,3741.888404224731,297452.1146908435,0.9999894533604512
643,0.008043,1871.4,0,1.4302e-05,1.2478,3.0232,-0.0014773,0,521.3,-1366500.0,0,0,0,218.23,0,,0.063348,0.042828,0,0,1346.3851351619444,1329.3532083016887,3740.1500293574045,297492.8563443519,0.9999893851587809
644,0.008057,1876.8,0,1.4273e-05,1.2551,3.0424,-0.0010157,0,520.95,-1366600.0,0,0,0,217.71,0,,0.063447,0.042927,0,0,1358.5381282313754,1340.0114261809333,3737.8696179316203,297604.03230641474,0.9999892974595338
645,0.0080763,1881.9,0,1.4268e-05,1.2566,3.0528,-0.0014111,0,521.97,-1366400.0,0,0,0,217.61,0,,0.063545,0.043026,0,0,1364.0564660108582,1345.1708091858113,3736.811092220507,297645.6726073922,0.9999892581367693
646,0.0080868,1884.5,0,1.4267e-05,1.2569,3.0574,-0.0025618,0,522.61,-1366400.0,0,0,0,217.59,0,,0.063644,0.043124,0,0,1366.3088700353558,1347.334906308988,3736.351614150979,297654.4174137007,0.9999892412842797
