,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
264,0.022775,1.6346e-05,6110.9,0,1.0087e-05,2.2837,12.853,0.059041,0,16751.0,993.58,-1310300.0,0,0,0,146.88,12.021,0,,0.026009,0.0054895,0,0,12109.941012110472,7150.907141617272,3137.0153250844446,311928.81589055446,0.9999274130918174
265,0.022515,1.6095e-05,6045.5,0,1.0043e-05,2.294,12.734,0.057656,0,16806.0,977.61,-1312200.0,0,0,0,146.19,12.013,0,,0.026108,0.005588,0,0,12110.372178493086,7095.966870931333,3136.933064974922,311907.3054537908,0.9999276050861116
266,0.022269,1.5857e-05,5983.3,0,1.0002e-05,2.304,12.621,0.057564,0,16856.0,962.63,-1314000.0,0,0,0,145.54,12.002,0,,0.026206,0.0056865,0,0,12110.722889290551,7042.789846617904,3136.887046727202,311896.0783763749,0.9999277958111469
267,0.022025,1.5622e-05,5921.7,0,9.96e-06,2.3139,12.508,0.057703,0,16905.0,947.84,-1315700.0,0,0,0,144.89,11.989,0,,0.026305,0.005785,0,0,12109.64773584317,6989.525526059416,3136.8326834121244,311871.85636346345,0.9999279866107492
268,0.021784,1.5391e-05,5860.8,0,9.9189e-06,2.3237,12.397,0.057978,0,16951.0,933.3,-1317500.0,0,0,0,144.25,11.976,0,,0.026403,0.0058836,0,0,12111.405879465621,6938.630613210855,3136.822219957249,311881.653244462,0.9999281869436543
269,0.02155,1.5168e-05,5801.5,0,9.8786e-06,2.3334,12.287,0.058538,0,16992.0,919.28,-1319100.0,0,0,0,143.62,11.959,0,,0.026502,0.0059821,0,0,12107.867602443122,6885.443707244443,3136.767719908154,311839.26795656147,0.9999283754185734
270,0.021315,1.4945e-05,5742.3,0,9.8383e-06,2.3431,12.178,0.059099,0,17033.0,905.27,-1320800.0,0,0,0,142.99,11.942,0,,0.0266,0.0060806,0,0,12110.175564973288,6835.794699273572,3136.75902550709,311853.6418079183,0.9999285768782491
271,0.021082,1.4726e-05,5683.1,0,9.7975e-06,2.353,12.068,0.059666,0,17066.0,891.43,-1322400.0,0,0,0,142.36,11.92,0,,0.026699,0.0061791,0,0,12107.02027686314,6782.233394940936,3136.744649820671,311826.11209927814,0.9999287788778596
272,0.020848,1.4509e-05,5624.0,0,9.7567e-06,2.3629,11.958,0.060236,0,17096.0,877.65,-1324100.0,0,0,0,141.73,11.897,0,,0.026797,0.0062776,0,0,12106.823481469712,6730.568263544207,3136.7612101983796,311829.6316616276,0.9999289901788628
273,0.020614,1.4292e-05,5564.5,0,9.7153e-06,2.373,11.847,0.060988,0,17124.0,863.81,-1325700.0,0,0,0,141.09,11.872,0,,0.026896,0.0063762,0,0,12103.66116197454,6676.462744564073,3136.777412365357,311811.21797160443,0.999929206585115
274,0.020375,1.4077e-05,5503.8,0,9.6724e-06,2.3835,11.734,0.062228,0,17145.0,849.83,-1327400.0,0,0,0,140.43,11.844,0,,0.026994,0.0064747,0,0,12105.061815270936,6623.064324655784,3136.74936531124,311813.1138105495,0.9999294211177858
275,0.020136,1.3861e-05,5443.2,0,9.6294e-06,2.3941,11.621,0.063468,0,17167.0,835.86,-1329100.0,0,0,0,139.76,11.816,0,,0.027093,0.0065732,0,0,12108.307747402716,6570.407494559939,3136.7008120469036,311822.4355343387,0.9999296362803
276,0.019888,1.3643e-05,5380.2,0,9.5842e-06,2.4053,11.502,0.065171,0,17181.0,821.48,-1330800.0,0,0,0,139.07,11.785,0,,0.027191,0.0066717,0,0,12105.759627145811,6511.820878719035,3136.710056261244,311806.45809012547,0.9999298741304892
277,0.019636,1.3424e-05,5316.3,0,9.5382e-06,2.4168,11.382,0.06703,0,17192.0,806.98,-1332500.0,0,0,0,138.36,11.752,0,,0.02729,0.0067702,0,0,12109.952768164256,6455.643191258967,3136.6786451495245,311827.88923201396,0.9999301115499887
278,0.019381,1.3204e-05,5251.6,0,9.4912e-06,2.4285,11.259,0.068964,0,17203.0,792.3,-1334200.0,0,0,0,137.64,11.719,0,,0.027388,0.0068688,0,0,12108.07784658201,6395.544350696349,3136.707711308542,311822.81351907796,0.9999303690442665
279,0.019113,1.2979e-05,5183.5,0,9.4409e-06,2.4413,11.13,0.071157,0,17210.0,777.04,-1336100.0,0,0,0,136.87,11.685,0,,0.027487,0.0069673,0,0,12112.019960928405,6333.349344059687,3136.6522440060508,311835.1767047032,0.9999306268074822
280,0.018845,1.2754e-05,5115.5,0,9.3905e-06,2.454,11.001,0.07335,0,17217.0,761.77,-1337900.0,0,0,0,136.09,11.651,0,,0.027586,0.0070658,0,0,12117.599069155585,6272.880497684978,3136.605962781613,311862.32453299535,0.9999308931134033
281,0.018564,1.2524e-05,5044.0,0,9.3365e-06,2.4678,10.864,0.075208,0,17223.0,745.91,-1339800.0,0,0,0,135.27,11.618,0,,0.027684,0.0071643,0,0,12118.902708560157,6205.150319164375,3136.5723859548434,311861.83653507184,0.9999311796753823
282,0.018277,1.2292e-05,4970.9,0,9.2809e-06,2.4821,10.724,0.076921,0,17228.0,729.8,-1341700.0,0,0,0,134.42,11.585,0,,0.027783,0.0072628,0,0,12123.494245448413,6137.123797375515,3136.504665361526,311875.2724346142,0.999931472442455
283,0.017987,1.2059e-05,4897.1,0,9.2245e-06,2.4966,10.582,0.078483,0,17234.0,713.56,-1343600.0,0,0,0,133.56,11.553,0,,0.027881,0.0073614,0,0,12126.609486945601,6067.88129753127,3136.516414083665,311901.69242089894,0.9999317905783551
284,0.017683,1.1821e-05,4819.1,0,9.1639e-06,2.5123,10.431,0.079316,0,17245.0,696.74,-1345600.0,0,0,0,132.64,11.527,0,,0.02798,0.0074599,0,0,12126.890190554368,5991.983530819943,3136.415962465839,311873.61598570365,0.9999321087590609
285,0.017378,1.1582e-05,4741.2,0,9.1033e-06,2.528,10.281,0.080149,0,17257.0,679.93,-1347600.0,0,0,0,131.73,11.501,0,,0.028078,0.0075584,0,0,12132.664932714442,5919.439602378709,3136.5131850314074,311945.21510556,0.9999324721665116
286,0.017067,1.1342e-05,4661.3,0,9.0408e-06,2.5444,10.125,0.080805,0,17271.0,663.03,-1349600.0,0,0,0,130.78,11.477,0,,0.028177,0.0076569,0,0,12132.553009389861,5841.357297592041,3136.4648140622007,311929.8775627174,0.9999328213676487
287,0.016753,1.1101e-05,4580.3,0,8.9773e-06,2.561,9.9667,0.081366,0,17287.0,646.08,-1351700.0,0,0,0,129.82,11.454,0,,0.028275,0.0077554,0,0,12130.522068013028,5762.180531563219,3136.497525659765,311924.77354070917,0.9999331968022167
288,0.016439,1.086e-05,4499.4,0,8.9134e-06,2.5778,9.8083,0.081859,0,17302.0,629.17,-1353700.0,0,0,0,128.86,11.43,0,,0.028374,0.007854,0,0,12128.301603313783,5682.791378546688,3136.65899952214,311956.9140124848,0.9999336050276144
289,0.016125,1.0619e-05,4418.1,0,8.8468e-06,2.5955,9.6482,0.081863,0,17313.0,612.49,-1355700.0,0,0,0,127.86,11.401,0,,0.028472,0.0079525,0,0,12129.133879131934,5601.513527205963,3136.5406971152233,311927.5286686262,0.999933970452425
290,0.015811,1.0378e-05,4336.8,0,8.7802e-06,2.6131,9.488,0.081868,0,17324.0,595.8,-1357600.0,0,0,0,126.86,11.371,0,,0.028571,0.008051,0,0,12128.717624652703,5521.00736681438,3136.5841418329624,311937.5068868738,0.9999343763028805
291,0.015495,1.0138e-05,4255.1,0,8.7072e-06,2.6327,9.3274,0.080276,0,17336.0,578.93,-1359700.0,0,0,0,125.77,11.341,0,,0.028669,0.0081495,0,0,12145.702472629633,5440.224935868093,3136.144881387673,311930.4136704244,0.9999347166134867
