"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.4316,9.6493e+05,0,1.5591e-05,1.4179,1544.4,1.1083,0,2.4695e+05,2.0783e+18,0,0,0,242.3,0,,8.1872,0.0872,0,0
3.3741,9.5052e+05,0,1.5505e-05,1.4348,1531.5,1.1007,0,2.4118e+05,1.9963e+18,0,0,0,240.67,0,,8.2603,0.1603,0,0
3.3191,9.3667e+05,0,1.5422e-05,1.4512,1518.7,1.0883,0,2.3569e+05,1.9183e+18,0,0,0,239.09,0,,8.3334,0.2334,0,0
3.2662,9.233e+05,0,1.5341e-05,1.4672,1506.1,1.0941,0,2.3043e+05,1.8437e+18,0,0,0,237.54,0,,8.4065,0.3065,0,0
3.2144,9.1013e+05,0,1.5259e-05,1.483,1493.3,1.1222,0,2.2531e+05,1.7709e+18,0,0,0,236,0,,8.4796,0.3796,0,0
3.1622,8.9683e+05,0,1.5177e-05,1.4991,1480.1,1.1413,0,2.2019e+05,1.6982e+18,0,0,0,234.45,0,,8.5527,0.4527,0,0
3.1088,8.8317e+05,0,1.5091e-05,1.5157,1466.1,1.1824,0,2.1499e+05,1.6244e+18,0,0,0,232.84,0,,8.6258,0.5258,0,0
3.0536,8.69e+05,0,1.5002e-05,1.5329,1451.3,1.2305,0,2.0966e+05,1.5486e+18,0,0,0,231.17,0,,8.6989,0.5989,0,0
2.9959,8.5414e+05,0,1.4908e-05,1.5513,1435.3,1.2754,0,2.0412e+05,1.47e+18,0,0,0,229.4,0,,8.772,0.672,0,0
2.9372,8.3892e+05,0,1.4811e-05,1.5699,1418.5,1.2971,0,1.9855e+05,1.391e+18,0,0,0,227.6,0,,8.8451,0.7451,0,0
2.8783,8.2366e+05,0,1.4712e-05,1.5891,1401.4,2.0659,0,1.93e+05,1.3122e+18,0,0,0,225.77,0,,8.9182,0.8182,0,0
2.8065,8.0519e+05,0,1.4587e-05,1.6138,1380.6,2.6129,0,1.8626e+05,1.2164e+18,0,0,0,223.45,0,,8.9913,0.8913,0,0
2.7319,7.8572e+05,0,1.4456e-05,1.6392,1357.6,2.3474,0,1.7935e+05,1.1183e+18,0,0,0,221.04,0,,9.0644,0.9644,0,0
2.6733,7.704e+05,0,1.4351e-05,1.6598,1339.2,2.1144,0,1.7397e+05,1.0419e+18,0,0,0,219.11,0,,9.1375,1.0375,0,0
2.6295,7.5897e+05,0,1.4268e-05,1.6759,1325.5,1.1641,0,1.6994e+05,9.8472e+17,0,0,0,217.61,0,,9.2106,1.1106,0,0
2.6023,7.5179e+05,0,1.422e-05,1.6853,1316.5,0.67877,0,1.6751e+05,9.5013e+17,0,0,0,216.73,0,,9.2837,1.1837,0,0
2.5892,7.4799e+05,0,1.4205e-05,1.6876,1310.9,0.41765,0,1.6646e+05,9.3523e+17,0,0,0,216.46,0,,9.3568,1.2568,0,0
2.5887,7.475e+05,0,1.42e-05,1.6876,1310.3,0.0076783,0,1.6635e+05,9.3365e+17,0,0,0,216.36,0,,9.4299,1.3299,0,0
2.5987,7.5004e+05,0,1.4218e-05,1.6838,1313.4,-0.80276,0,1.6725e+05,9.4646e+17,0,0,0,216.7,0,,9.503,1.403,0,0
2.6232,7.564e+05,0,1.4264e-05,1.6746,1321.2,-1.717,0,1.6948e+05,9.7813e+17,0,0,0,217.53,0,,9.5761,1.4761,0,0
2.6644,7.6706e+05,0,1.434e-05,1.6595,1334,-2.3314,0,1.7324e+05,1.0315e+18,0,0,0,218.92,0,,9.6492,1.5492,0,0
2.7203,7.8146e+05,0,1.4446e-05,1.6385,1350.7,-2.3515,0,1.7845e+05,1.1054e+18,0,0,0,220.87,0,,9.7223,1.6223,0,0
2.7758,7.9587e+05,0,1.4551e-05,1.6182,1367.1,-1.7301,0,1.8368e+05,1.1797e+18,0,0,0,222.8,0,,9.7954,1.6954,0,0
2.8069,8.0464e+05,0,1.4599e-05,1.6103,1378.4,-1.1699,0,1.8647e+05,1.2194e+18,0,0,0,223.67,0,,9.8685,1.7685,0,0
2.813,8.0719e+05,0,1.4617e-05,1.6094,1381.7,-1.5746,0,1.8715e+05,1.229e+18,0,0,0,224,0,,9.9416,1.8416,0,0
2.808,8.0605e+05,0,1.4608e-05,1.6115,1380.5,-0.35082,0,1.8668e+05,1.2224e+18,0,0,0,223.85,0,,10.015,1.9147,0,0
2.8008,8.0431e+05,0,1.4595e-05,1.6143,1378.6,0.85045,0,1.86e+05,1.2128e+18,0,0,0,223.61,0,,10.088,1.9878,0,0
2.7827,7.9964e+05,0,1.4561e-05,1.621,1373.4,1.9411,0,1.8428e+05,1.1883e+18,0,0,0,222.97,0,,10.161,2.0609,0,0
2.759,7.9347e+05,0,1.4516e-05,1.6296,1366.4,2.8264,0,1.8204e+05,1.1565e+18,0,0,0,222.15,0,,10.234,2.134,0,0
2.7121,7.8116e+05,0,1.4432e-05,1.6458,1351.8,2.9644,0,1.777e+05,1.0949e+18,0,0,0,220.6,0,,10.307,2.2071,0,0
2.6533,7.656e+05,0,1.4325e-05,1.6662,1332.9,2.9128,0,1.7231e+05,1.0183e+18,0,0,0,218.65,0,,10.38,2.2802,0,0
2.5943,7.5004e+05,0,1.4215e-05,1.6875,1313.9,2.8005,0,1.6694e+05,9.4199e+17,0,0,0,216.64,0,,10.453,2.3533,0,0
2.5342,7.3428e+05,0,1.4097e-05,1.7105,1294.6,2.6992,0,1.6145e+05,8.641e+17,0,0,0,214.5,0,,10.526,2.4264,0,0
2.4758,7.1869e+05,0,1.399e-05,1.7314,1274.3,2.6579,0,1.563e+05,7.9097e+17,0,0,0,212.56,0,,10.599,2.4995,0,0
2.4285,7.0617e+05,0,1.3899e-05,1.7492,1258,2.6074,0,1.5214e+05,7.3192e+17,0,0,0,210.93,0,,10.673,2.5726,0,0
2.379,6.9312e+05,0,1.38e-05,1.769,1241,2.4857,0,1.4778e+05,6.6996e+17,0,0,0,209.14,0,,10.746,2.6457,0,0
2.3258,6.7891e+05,0,1.3692e-05,1.7902,1222.1,2.3572,0,1.4314e+05,6.0412e+17,0,0,0,207.21,0,,10.819,2.7188,0,0
2.2752,6.6531e+05,0,1.3591e-05,1.81,1203.5,2.2032,0,1.3881e+05,5.4256e+17,0,0,0,205.41,0,,10.892,2.7919,0,0
2.2311,6.535e+05,0,1.3498e-05,1.8284,1187.3,1.9812,0,1.3502e+05,4.8879e+17,0,0,0,203.76,0,,10.965,2.865,0,0
2.1894,6.4232e+05,0,1.3408e-05,1.8463,1172,1.7796,0,1.3146e+05,4.3823e+17,0,0,0,202.17,0,,11.038,2.9381,0,0
2.1497,6.3163e+05,0,1.3323e-05,1.8633,1157,1.4415,0,1.2811e+05,3.9072e+17,0,0,0,200.66,0,,11.111,3.0112,0,0
2.1148,6.2215e+05,0,1.3248e-05,1.878,1143.4,1.2336,0,1.2521e+05,3.4951e+17,0,0,0,199.36,0,,11.184,3.0843,0,0
