,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
43,7.3594,0.00018196,1878300.0,0,1.9791e-05,0.40278,1096.0,-2.4614,0,320990.0,718660.0,-145250.0,0,0,0,328.79,7.9362,0,,0.0031433,-0.0049567,0,0,804243.4258103146,1.000196421717727
44,7.335,0.00018188,1873100.0,0,1.9772e-05,0.41107,1114.1,-2.0965,0,318220.0,715360.0,-151140.0,0,0,0,328.37,7.8906,0,,0.0032164,-0.0048836,0,0,804129.0287723853,1.000178532498729
45,7.3091,0.00018183,1867600.0,0,1.975e-05,0.42036,1134.4,-2.0996,0,316400.0,711790.0,-157520.0,0,0,0,327.89,7.8713,0,,0.0032895,-0.0048105,0,0,804213.1751308765,1.0001582330054428
46,7.2802,0.00018173,1861200.0,0,1.9727e-05,0.42972,1154.2,-2.2407,0,313590.0,707870.0,-164520.0,0,0,0,327.38,7.8282,0,,0.0033626,-0.0047374,0,0,804140.8552048866,1.0001366996968164
47,7.2524,0.00018167,1855300.0,0,1.9704e-05,0.43917,1174.2,-2.2938,0,311250.0,704050.0,-171330.0,0,0,0,326.86,7.7969,0,,0.0034357,-0.0046643,0,0,804253.0291007485,1.0001148854123207
48,7.2219,0.00018165,1848600.0,0,1.9679e-05,0.44884,1194.0,-2.3991,0,308130.0,699930.0,-178690.0,0,0,0,326.32,7.7502,0,,0.0035088,-0.0045912,0,0,804173.6738807192,1.0000922778254122
49,7.1926,0.0001815,1842200.0,0,1.9655e-05,0.45808,1212.7,-2.3192,0,305990.0,695980.0,-185750.0,0,0,0,325.8,7.7216,0,,0.0035819,-0.0045181,0,0,804098.2935292368,1.0000706046233614
50,7.1625,0.00018143,1835900.0,0,1.963e-05,0.46812,1233.0,-1.9478,0,304530.0,691870.0,-193100.0,0,0,0,325.24,7.7138,0,,0.003655,-0.004445,0,0,804165.1108552758,1.0000473951758388
51,7.1267,0.00018133,1828100.0,0,1.96e-05,0.47925,1254.7,-1.7782,0,302670.0,687030.0,-201730.0,0,0,0,324.59,7.7011,0,,0.0037281,-0.0043719,0,0,804134.8312577452,1.0000205681276866
52,7.0931,0.00018123,1820700.0,0,1.9573e-05,0.48911,1273.3,-1.9709,0,300150.0,682520.0,-209780.0,0,0,0,323.98,7.669,0,,0.0038012,-0.0042988,0,0,804118.3465939178,0.9999955237487933
