,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
507,1.3664,375860.0,1.2218,549.81,-6.6189,0,106080.0,7.7825e+16,261.28,,37.062,28.962,0,0,263045.66736910224,260554.62802679933,6684.167120350075,0.9993545237280044
508,1.3797,379300.0,1.2171,553.45,-6.6861,0,107300.0,9.5155e+16,261.74,,37.135,29.035,0,0,264443.3738533958,262076.4618422907,6682.5939195861865,0.9993542908704545
509,1.393,382740.0,1.2123,557.09,-6.7534,0,108520.0,1.1248e+17,262.19,,37.208,29.108,0,0,265852.52773219737,263609.430994973,6681.016227538938,0.9993540149881718
510,1.4063,386180.0,1.2076,560.73,-6.8206,0,109740.0,1.2981e+17,262.64,,37.281,29.181,0,0,267238.1049732389,265113.0903990268,6679.473063119185,0.9993538490989547
511,1.4196,389630.0,1.2029,564.37,-6.8879,0,110960.0,1.4714e+17,263.09,,37.354,29.254,0,0,268600.4012427731,266590.530053316,6677.963606699577,0.9993537919686178
512,1.4329,393070.0,1.1981,568.01,-6.9551,0,112180.0,1.6447e+17,263.54,,37.427,29.327,0,0,269939.70838611067,268044.51817987673,6676.487065819215,0.9993538423765722
513,1.4462,396510.0,1.1934,571.65,-7.0224,0,113400.0,1.818e+17,263.99,,37.5,29.4,0,0,271256.3144810424,269470.0905902043,6675.042674006467,0.9993539991156618
514,1.4592,399900.0,1.1898,575.5,-7.1264,0,114560.0,1.9822e+17,264.34,,37.573,29.473,0,0,272769.1746830102,271061.0362719145,6673.391609491966,0.9993530083032341
515,1.4714,403200.0,1.1883,579.74,-7.302,0,115590.0,2.1285e+17,264.48,,37.646,29.546,0,0,274718.98372430674,273034.81431842985,6671.277131633298,0.9993494684015092
516,1.4837,406500.0,1.1869,583.99,-7.4777,0,116620.0,2.2748e+17,264.62,,37.72,29.62,0,0,276661.0132492439,274998.53427697293,6669.1859525246155,0.9993459642231918
517,1.496,409790.0,1.1854,588.23,-7.6533,0,117650.0,2.4211e+17,264.77,,37.793,29.693,0,0,278558.36443191307,276920.28584822005,6667.15700852482,0.9993426578825139
518,1.5083,413090.0,1.1839,592.47,-7.829,0,118680.0,2.5675e+17,264.91,,37.866,29.766,0,0,280484.68210334814,278870.86695195676,6665.111175018189,0.9993392258723393
519,1.5205,416390.0,1.1825,596.72,-8.0046,0,119710.0,2.7138e+17,265.05,,37.939,29.839,0,0,282403.3048564824,280811.4813721757,6663.087429717691,0.9993358292313389
520,1.5328,419680.0,1.181,600.96,-8.1802,0,120740.0,2.8601e+17,265.19,,38.012,29.912,0,0,284314.26025251177,282746.8485396904,6661.085389796618,0.9993324678439529
521,1.5451,422980.0,1.1796,605.21,-8.3559,0,121770.0,3.0064e+17,265.33,,38.085,29.985,0,0,286217.5757480683,284672.3104841872,6659.104682190344,0.9993291415950027
522,1.5574,426280.0,1.1781,609.45,-8.5315,0,122800.0,3.1527e+17,265.47,,38.158,30.058,0,0,288113.2786957017,286592.5313206467,6657.144943267383,0.9993258503696903
523,1.5697,429570.0,1.1767,613.69,-8.7072,0,123830.0,3.2991e+17,265.61,,38.231,30.131,0,0,290001.39634429174,288502.9100380646,6655.205818514217,0.999322594053596
524,1.5819,432860.0,1.1752,617.94,-8.88,0,124860.0,3.445e+17,265.75,,38.304,30.204,0,0,291881.9558394794,290408.0524588995,6653.286962233153,0.9993193725326777
525,1.5928,435840.0,1.175,622.12,-8.9064,0,125730.0,3.5688e+17,265.77,,38.378,30.278,0,0,293845.5095980557,292366.25950281345,6651.296567196525,0.9993150021881029
526,1.6038,438830.0,1.1748,626.3,-8.9328,0,126600.0,3.6926e+17,265.79,,38.451,30.351,0,0,295808.1113968591,294323.5720104936,6649.320380627198,0.9993106368832783
527,1.6147,441810.0,1.1747,630.49,-8.9592,0,127480.0,3.8164e+17,265.81,,38.524,30.424,0,0,297793.2078479613,296301.0136368237,6647.334833650855,0.999306222550123
528,1.6256,444790.0,1.1745,634.67,-8.9856,0,128350.0,3.9403e+17,265.83,,38.597,30.497,0,0,299753.90190625086,298256.52208675444,6645.3866418598145,0.9993018673500565
529,1.6365,447770.0,1.1743,638.85,-9.012,0,129220.0,4.0641e+17,265.85,,38.67,30.57,0,0,301713.6452164656,300211.13664315443,6643.4520842465445,0.9992975171830161
