,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
99,4.3741,1196700.0,1.1637,1696.5,1.6112,0,347070.0,3.5e+18,267.16,,7.2369,-0.8631,0,0,800935.3081103627,0.9981953300762917
100,4.3063,1180300.0,1.1808,1689.3,1.881,0,339560.0,3.3934e+18,265.49,,7.31,-0.79,0,0,799975.036857112,0.9981575022161906
101,4.2375,1163600.0,1.1982,1681.5,2.0028,0,331980.0,3.2857e+18,263.78,,7.3831,-0.7169,0,0,798717.22005525,0.9981196821697987
102,4.1677,1146600.0,1.2162,1672.9,2.3114,0,324330.0,3.1771e+18,262.02,,7.4562,-0.6438,0,0,797410.1821839096,0.9980815127375555
103,4.0967,1129200.0,1.2345,1663.4,2.4545,0,316610.0,3.0674e+18,260.21,,7.5293,-0.5707,0,0,795721.2453595431,0.9980431065036854
104,4.0254,1111800.0,1.2531,1653.2,2.6437,0,308920.0,2.9582e+18,258.38,,7.6024,-0.4976,0,0,793863.7968302128,0.9980053564096937
105,3.9538,1094200.0,1.2718,1642.2,2.7798,0,301260.0,2.8495e+18,256.54,,7.6755,-0.4245,0,0,791621.1754901201,0.9979687964470602
106,3.8803,1076200.0,1.2915,1630.5,2.8602,0,293430.0,2.7383e+18,254.61,,7.7486,-0.3514,0,0,789272.2791705274,0.9979311135065719
107,3.8043,1057400.0,1.3121,1617.5,2.7566,0,285390.0,2.6241e+18,252.58,,7.8217,-0.2783,0,0,786529.4160816603,0.9978923543632962
108,3.7313,1039200.0,1.3316,1603.9,2.7101,0,277770.0,2.5159e+18,250.65,,7.8948,-0.2052,0,0,783240.759711586,0.9978575194696944
109,3.6643,1022500.0,1.35,1591.1,2.858,0,270810.0,2.4171e+18,248.83,,7.9679,-0.1321,0,0,780180.9594033819,0.9978249402777244
110,3.5948,1005100.0,1.3695,1577.4,2.9161,0,263630.0,2.315e+18,246.91,,8.041,-0.059,0,0,776864.3023745355,0.9977913603450632
111,3.5239,987320.0,1.3893,1562.4,3.08,0,256380.0,2.2122e+18,244.97,,8.1141,0.0141,0,0,772932.4054503702,0.9977596302000196
112,3.4516,969230.0,1.4102,1546.9,3.1209,0,249030.0,2.1078e+18,242.92,,8.1872,0.0872,0,0,768944.8854511408,0.9977258791337439
113,3.3781,950600.0,1.4311,1529.9,3.1844,0,241660.0,2.0032e+18,240.87,,8.2603,0.1603,0,0,764115.478157757,0.9976948964074144
114,3.305,932190.0,1.453,1513.0,3.1884,0,234350.0,1.8993e+18,238.75,,8.3334,0.2334,0,0,759523.6578994533,0.9976626785514094
115,3.2307,913310.0,1.4752,1494.8,3.169,0,227000.0,1.795e+18,236.58,,8.4065,0.3065,0,0,754195.0951774063,0.9976313020175337
116,3.159,894980.0,1.497,1476.4,3.1735,0,219980.0,1.6952e+18,234.46,,8.4796,0.3796,0,0,748758.4926056669,0.9976018879651355
117,3.091,877550.0,1.5177,1458.4,3.2836,0,213400.0,1.6018e+18,232.44,,8.5527,0.4527,0,0,743093.8750835913,0.9975754103110136
118,3.0234,860200.0,1.5391,1440.1,3.4059,0,206880.0,1.5093e+18,230.39,,8.6258,0.5258,0,0,737412.7772496893,0.9975495304863573
119,2.9539,842310.0,1.5616,1420.9,3.4992,0,200230.0,1.4148e+18,228.22,,8.6989,0.5989,0,0,731298.6746659821,0.9975222006222232
120,2.882,823770.0,1.5855,1400.4,3.5186,0,193400.0,1.3179e+18,225.94,,8.772,0.672,0,0,724688.7643280289,0.9974949109333947
121,2.8096,804930.0,1.6095,1378.9,3.5067,0,186630.0,1.2216e+18,223.64,,8.8451,0.7451,0,0,717375.7921670419,0.9974694179849858
122,2.7423,787300.0,1.6317,1357.9,3.7235,0,180430.0,1.1336e+18,221.53,,8.9182,0.8182,0,0,709937.1967403662,0.9974492121267389
123,2.6773,770470.0,1.6542,1337.7,4.0393,0,174510.0,1.0495e+18,219.45,,8.9913,0.8913,0,0,702947.3522913278,0.9974298098065338
124,2.6079,752420.0,1.6792,1315.7,4.3109,0,168200.0,9.5994e+17,217.15,,9.0644,0.9644,0,0,695255.0939511993,0.9974085789981665
125,2.5351,733300.0,1.7058,1291.9,4.3374,0,161650.0,8.6692e+17,214.68,,9.1375,1.0375,0,0,686599.4278845452,0.9973866012307175
126,2.4622,714010.0,1.7324,1267.0,4.6674,0,155200.0,7.7537e+17,212.22,,9.2106,1.1106,0,0,677177.4779609675,0.9973680877331849
127,2.3935,695820.0,1.7583,1243.1,4.813,0,149200.0,6.9014e+17,209.87,,9.2837,1.1837,0,0,668089.763561295,0.9973520876192004
128,2.3278,678530.0,1.7846,1220.2,5.4996,0,143490.0,6.09e+17,207.54,,9.3568,1.2568,0,0,659471.6751699094,0.9973362755643356
129,2.2611,660810.0,1.8116,1196.2,5.5683,0,137750.0,5.2757e+17,205.12,,9.4299,1.3299,0,0,650056.2465211765,0.9973208246185904
130,2.1947,643040.0,1.8397,1171.8,5.7902,0,132070.0,4.4696e+17,202.62,,9.503,1.403,0,0,640447.5327998813,0.9973048212248158
131,2.1292,625410.0,1.8673,1147.0,5.014,0,126580.0,3.6899e+17,200.17,,9.5761,1.4761,0,0,630267.400305507,0.9972924243623239
132,2.0668,608650.0,1.8946,1123.0,4.9608,0,121430.0,2.9575e+17,197.81,,9.6492,1.5492,0,0,620464.0535609059,0.9972822454749152
133,2.0098,593300.0,1.9208,1100.8,4.0494,0,116730.0,2.291e+17,195.56,,9.7223,1.6223,0,0,611274.5137116909,0.9972721808053463
134,1.9608,580030.0,1.9442,1081.5,4.4092,0,112720.0,1.7209e+17,193.55,,9.7954,1.6954,0,0,603231.8380575732,0.9972622905499287
135,1.9277,571040.0,1.9608,1068.3,3.3998,0,110020.0,1.337e+17,192.13,,9.8685,1.7685,0,0,597847.9859189296,0.9972540072933023
136,1.8956,562260.0,1.9764,1055.2,2.5353,0,107420.0,9.6807e+16,190.79,,9.9416,1.8416,0,0,592108.5885311161,0.9972489784214527
137,1.8723,555540.0,1.9824,1043.9,3.0241,0,105800.0,7.3867e+16,190.26,,10.015,1.9147,0,0,586380.2041385212,0.9972627120939388
138,1.8522,549690.0,1.9875,1034.1,3.3765,0,104400.0,5.4002e+16,189.79,,10.088,1.9878,0,0,581314.0104552656,0.9972744060789387
139,1.8476,548120.0,1.9881,1031.5,3.0569,0,104070.0,4.9267e+16,189.65,,10.161,2.0609,0,0,579793.7689605224,0.9972756957358646
140,1.8431,546550.0,1.9888,1028.9,2.7374,0,103740.0,4.4533e+16,189.51,,10.234,2.134,0,0,578324.0203653538,0.9972770115345304
141,1.8385,544990.0,1.9895,1026.4,2.4178,0,103400.0,3.9799e+16,189.36,,10.307,2.2071,0,0,576796.3147099777,0.9972780933983526
142,1.8366,544130.0,1.9895,1025.0,1.9302,0,103240.0,3.7482e+16,189.27,,10.38,2.2802,0,0,575904.6412858191,0.9972775963845125
143,1.841,545030.0,1.9879,1026.7,1.0297,0,103490.0,4.1102e+16,189.28,,10.453,2.3533,0,0,576460.770554538,0.9972715319854785
144,1.8454,545920.0,1.9864,1028.4,0.1293,0,103750.0,4.4721e+16,189.29,,10.526,2.4264,0,0,577121.4165174122,0.997265206579875
145,1.8498,546820.0,1.9848,1030.1,-0.77114,0,104000.0,4.8341e+16,189.31,,10.599,2.4995,0,0,577670.9146177085,0.9972596740694429
146,1.8592,549130.0,1.9803,1033.7,-1.7791,0,104700.0,5.8275e+16,189.61,,10.673,2.5726,0,0,579182.7752348253,0.9972571045293137
147,1.8757,553500.0,1.9714,1040.1,-2.9418,0,106040.0,7.7301e+16,190.33,,10.746,2.6457,0,0,581853.191569414,0.9972601938357385
148,1.8922,557860.0,1.9625,1046.5,-4.1045,0,107380.0,9.6327e+16,191.05,,10.819,2.7188,0,0,584425.9364998172,0.9972637006613204
149,1.9088,562220.0,1.9536,1052.9,-5.2672,0,108720.0,1.1535e+17,191.78,,10.892,2.7919,0,0,586901.8941664092,0.9972681386583989
150,1.9336,568860.0,1.941,1062.6,-6.0779,0,110750.0,1.4409e+17,192.83,,10.965,2.865,0,0,590951.5322471374,0.997272685554197
151,1.9666,577720.0,1.9248,1075.6,-6.5455,0,113440.0,1.8229e+17,194.2,,11.038,2.9381,0,0,596275.1855124688,0.9972789537495609
152,2.0029,587420.0,1.9067,1089.3,-7.4424,0,116460.0,2.2523e+17,195.76,,11.111,3.0112,0,0,601886.1916232198,0.997288898485746
153,2.0417,597780.0,1.887,1103.8,-8.6844,0,119750.0,2.7199e+17,197.46,,11.184,3.0843,0,0,607520.1236919564,0.9973017627437449
154,2.0799,607930.0,1.868,1117.8,-8.3844,0,123020.0,3.1833e+17,199.12,,11.257,3.1574,0,0,612962.4647506078,0.9973149718718635
155,2.1176,617940.0,1.8496,1131.4,-7.0678,0,126260.0,3.644e+17,200.74,,11.33,3.2305,0,0,618139.9496585595,0.9973286108710114
156,2.1519,627320.0,1.8366,1145.1,-6.5895,0,129060.0,4.0409e+17,201.91,,11.404,3.3036,0,0,623995.0923722785,0.9973300349871547
157,2.1844,636350.0,1.8267,1158.8,-6.587,0,131600.0,4.4017e+17,202.83,,11.477,3.3767,0,0,630215.4062194352,0.9973251948499025
158,2.2027,641720.0,1.8228,1167.2,-6.1472,0,132980.0,4.598e+17,203.27,,11.55,3.4498,0,0,634419.9036217979,0.9973199154210072
159,2.214,645300.0,1.8217,1173.1,-5.4948,0,133800.0,4.7146e+17,203.48,,11.623,3.5229,0,0,637649.3348385494,0.9973142628052608
160,2.2254,648890.0,1.8206,1179.0,-4.8424,0,134620.0,4.8311e+17,203.68,,11.696,3.596,0,0,640870.8112899577,0.9973081842020605
161,2.2367,652480.0,1.8195,1184.9,-4.1901,0,135440.0,4.9476e+17,203.88,,11.769,3.6691,0,0,644084.3984633432,0.9973021933229353
162,2.2385,653460.0,1.8188,1186.1,-3.4478,0,135690.0,4.9832e+17,204.1,,11.842,3.7422,0,0,644835.2406957521,0.9973086130343747
163,2.2369,653530.0,1.8183,1185.5,-2.6744,0,135750.0,4.9909e+17,204.32,,11.915,3.8153,0,0,644808.3299956691,0.9973187738557888
164,2.2354,653600.0,1.8178,1185.0,-1.9011,0,135800.0,4.9986e+17,204.55,,11.988,3.8884,0,0,644733.8509006058,0.9973296072526697
165,2.2338,653680.0,1.8172,1184.5,-1.1277,0,135850.0,5.0063e+17,204.77,,12.062,3.9615,0,0,644596.5498132213,0.997339887860141
166,2.2264,651760.0,1.8205,1181.8,-0.087329,0,135230.0,4.9174e+17,204.51,,12.135,4.0346,0,0,643714.5800709255,0.9973387521921383
167,2.2172,649280.0,1.8248,1178.6,1.028,0,134410.0,4.8013e+17,204.11,,12.208,4.1077,0,0,642484.5124232462,0.9973344682426328
168,2.2081,646810.0,1.8291,1175.4,2.1434,0,133590.0,4.6853e+17,203.71,,12.281,4.1808,0,0,641228.2920859854,0.9973302816168553
169,2.1989,644340.0,1.8334,1172.1,3.2588,0,132780.0,4.5692e+17,203.31,,12.354,4.2539,0,0,639993.9538998696,0.9973259926816606
170,2.1769,638410.0,1.843,1163.9,4.1027,0,130890.0,4.302e+17,202.44,,12.427,4.327,0,0,636747.6875473971,0.9973196233138324
171,2.152,631710.0,1.8538,1154.6,4.8864,0,128780.0,4.0012e+17,201.48,,12.5,4.4001,0,0,633010.3211146278,0.9973137585321485
172,2.1145,621570.0,1.8704,1140.3,5.3596,0,125620.0,3.5535e+17,200.01,,12.573,4.4732,0,0,627338.4642482059,0.9973046761265204
