,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s
78,0.12128,27442.0,0.45672,19.159,-0.082868,0,10371.0,-1.9396e+17,287.92,,0.0076845,-0.012835,0,0,11964.864287491604,11964.864287491604,3140.068316598571
79,0.12094,27376.0,0.46306,19.36,-0.082767,0,10330.0,-1.988e+17,287.6,,0.0077831,-0.012737,0,0,11964.345242558733,11964.345242558733,3140.0888196200813
80,0.1206,27311.0,0.4694,19.561,-0.082666,0,10289.0,-2.0364e+17,287.28,,0.0078816,-0.012638,0,0,11964.544014611092,11964.544014611092,3140.112714453967
81,0.12025,27244.0,0.47582,19.762,-0.082559,0,10248.0,-2.0857e+17,286.95,,0.0079801,-0.01254,0,0,11965.836384148852,11965.836384148852,3140.1038104020286
82,0.11987,27171.0,0.48255,19.962,-0.082425,0,10203.0,-2.1393e+17,286.59,,0.0080786,-0.012441,0,0,11964.139997836755,11964.139997836755,3140.105890674988
83,0.11949,27098.0,0.48928,20.163,-0.082292,0,10158.0,-2.1929e+17,286.22,,0.0081771,-0.012343,0,0,11963.492950418415,11963.492950418415,3140.075790490825
84,0.11911,27025.0,0.49602,20.363,-0.082159,0,10113.0,-2.2465e+17,285.86,,0.0082757,-0.012244,0,0,11963.400663849146,11963.400663849146,3140.0861464510235
85,0.11873,26951.0,0.50275,20.563,-0.082026,0,10068.0,-2.3001e+17,285.5,,0.0083742,-0.012146,0,0,11964.128461142163,11964.128461142163,3140.1007344375644
86,0.11835,26877.0,0.50954,20.763,-0.081878,0,10022.0,-2.3544e+17,285.13,,0.0084727,-0.012047,0,0,11964.569084307452,11964.569084307452,3140.1127798862576
87,0.11793,26796.0,0.51666,20.959,-0.081642,0,9972.9,-2.4132e+17,284.73,,0.0085712,-0.011948,0,0,11962.98498829124,11962.98498829124,3140.112118737813
88,0.11751,26715.0,0.52377,21.155,-0.081407,0,9923.5,-2.472e+17,284.33,,0.0086697,-0.01185,0,0,11961.92954354711,11961.92954354711,3140.1255837669337
89,0.11709,26634.0,0.53089,21.352,-0.081171,0,9874.2,-2.5308e+17,283.92,,0.0087683,-0.011751,0,0,11962.186400460556,11962.186400460556,3140.104731990273
90,0.11667,26553.0,0.53801,21.548,-0.080935,0,9824.8,-2.5895e+17,283.52,,0.0088668,-0.011653,0,0,11962.960972243778,11962.960972243778,3140.128803931714
91,0.11625,26471.0,0.54516,21.744,-0.080706,0,9775.0,-2.6488e+17,283.11,,0.0089653,-0.011554,0,0,11964.267019095185,11964.267019095185,3140.133752230547
92,0.11579,26382.0,0.55266,21.933,-0.080535,0,9721.3,-2.7127e+17,282.66,,0.0090638,-0.011456,0,0,11962.197243925191,11962.197243925191,3140.1162639265167
93,0.11534,26293.0,0.56016,22.123,-0.080365,0,9667.6,-2.7767e+17,282.22,,0.0091623,-0.011357,0,0,11960.821886734428,11960.821886734428,3140.14203741343
94,0.11488,26204.0,0.56765,22.312,-0.080195,0,9613.9,-2.8406e+17,281.77,,0.0092609,-0.011259,0,0,11960.73518785181,11960.73518785181,3140.137556831383
95,0.11442,26114.0,0.57515,22.502,-0.080025,0,9560.2,-2.9046e+17,281.32,,0.0093594,-0.01116,0,0,11961.907248644655,11961.907248644655,3140.139691372065
96,0.11396,26025.0,0.58266,22.691,-0.079835,0,9506.3,-2.9687e+17,280.87,,0.0094579,-0.011062,0,0,11963.650182475063,11963.650182475063,3140.1547853625293
97,0.11346,25928.0,0.59053,22.871,-0.079185,0,9448.4,-3.0376e+17,280.38,,0.0095564,-0.010963,0,0,11961.563488340824,11961.563488340824,3140.1541799519214
98,0.11296,25830.0,0.59839,23.05,-0.078535,0,9390.6,-3.1064e+17,279.88,,0.0096549,-0.010865,0,0,11960.553205315757,11960.553205315757,3140.121250029286
99,0.11247,25733.0,0.60626,23.23,-0.077885,0,9332.7,-3.1753e+17,279.39,,0.0097535,-0.010766,0,0,11960.164539560634,11960.164539560634,3140.1366436920835
100,0.11197,25636.0,0.61413,23.41,-0.077235,0,9274.9,-3.2442e+17,278.9,,0.009852,-0.010668,0,0,11961.541041184426,11961.541041184426,3140.157069364798
101,0.11147,25539.0,0.62199,23.59,-0.076584,0,9217.0,-3.3131e+17,278.4,,0.0099505,-0.010569,0,0,11964.064937582476,11964.064937582476,3140.151705588328
102,0.11093,25433.0,0.63023,23.757,-0.075926,0,9155.0,-3.3869e+17,277.86,,0.010049,-0.010471,0,0,11961.726193838012,11961.726193838012,3140.1380558534274
103,0.11039,25327.0,0.63846,23.923,-0.075268,0,9093.0,-3.4607e+17,277.32,,0.010148,-0.010372,0,0,11960.318812831267,11960.318812831267,3140.13410177963
104,0.10986,25221.0,0.6467,24.09,-0.07461,0,9031.0,-3.5346e+17,276.78,,0.010246,-0.010274,0,0,11959.807069203202,11959.807069203202,3140.1400144578106
105,0.10932,25115.0,0.65493,24.257,-0.073952,0,8968.9,-3.6084e+17,276.24,,0.010345,-0.010175,0,0,11960.98708116941,11960.98708116941,3140.159280165834
106,0.10878,25009.0,0.66317,24.424,-0.073294,0,8906.9,-3.6823e+17,275.69,,0.010443,-0.010077,0,0,11963.70753073656,11963.70753073656,3140.1477731175078
107,0.1082,24895.0,0.67175,24.576,-0.072455,0,8841.2,-3.7605e+17,275.11,,0.010542,-0.0099781,0,0,11961.456536924145,11961.456536924145,3140.1574386580605
108,0.10762,24781.0,0.68036,24.727,-0.071605,0,8775.2,-3.839e+17,274.51,,0.01064,-0.0098796,0,0,11960.074928501283,11960.074928501283,3140.1133064109463
109,0.10705,24666.0,0.68897,24.878,-0.070754,0,8709.3,-3.9175e+17,273.92,,0.010739,-0.0097811,0,0,11959.359319109693,11959.359319109693,3140.1155489557714
110,0.10647,24552.0,0.69757,25.029,-0.069904,0,8643.3,-3.9961e+17,273.33,,0.010837,-0.0096825,0,0,11960.533142009475,11960.533142009475,3140.133409925297
111,0.10589,24438.0,0.70618,25.18,-0.069053,0,8577.4,-4.0746e+17,272.74,,0.010936,-0.009584,0,0,11963.250518536352,11963.250518536352,3140.1602828386244
