"Mach","P","tp","Points:0","Points:1","Points:2"
0.6149,0.14632,0.18505,3.0274,0,0
0.63533,0.14382,0.18446,3.0386,0,0
0.65576,0.14132,0.18386,3.0499,0,0
0.67619,0.13879,0.1832,3.0611,0,0
0.69662,0.13625,0.18251,3.0724,0,0
0.71705,0.1337,0.18182,3.0836,0,0
0.73735,0.13115,0.18103,3.0949,0,0
0.75764,0.1286,0.18024,3.1061,0,0
0.77787,0.12605,0.17942,3.1174,0,0
0.79797,0.12352,0.17854,3.1286,0,0
0.81807,0.12099,0.17765,3.1398,0,0
0.83798,0.11849,0.1767,3.1511,0,0
0.8578,0.11602,0.17573,3.1623,0,0
0.87761,0.11354,0.17475,3.1736,0,0
0.89715,0.11113,0.17369,3.1848,0,0
0.91668,0.10872,0.17263,3.1961,0,0
0.93609,0.10635,0.17155,3.2073,0,0
0.95526,0.10403,0.17042,3.2186,0,0
0.97443,0.10172,0.1693,3.2298,0,0
0.99325,0.09948,0.16813,3.2411,0,0
1.0119,0.097281,0.16695,3.2523,0,0
1.0306,0.095083,0.16577,3.2636,0,0
1.0487,0.093012,0.16455,3.2748,0,0
1.0667,0.09094,0.16333,3.286,0,0
1.0847,0.088907,0.1621,3.2973,0,0
1.1024,0.086945,0.16085,3.3085,0,0
1.1201,0.084983,0.15959,3.3198,0,0
1.1375,0.083093,0.15831,3.331,0,0
1.1549,0.081237,0.15703,3.3423,0,0
1.1722,0.079382,0.15574,3.3535,0,0
1.1891,0.077646,0.15444,3.3648,0,0
1.206,0.075909,0.15315,3.376,0,0
1.2226,0.074221,0.15186,3.3873,0,0
1.2388,0.07262,0.15058,3.3985,0,0
1.255,0.07102,0.1493,3.4098,0,0
1.2707,0.069515,0.14804,3.421,0,0
1.2861,0.068051,0.1468,3.4322,0,0
1.3015,0.066593,0.14555,3.4435,0,0
1.3162,0.065259,0.14435,3.4547,0,0
1.3308,0.063926,0.14314,3.466,0,0
1.3452,0.062636,0.14195,3.4772,0,0
1.3591,0.061417,0.14079,3.4885,0,0
1.3731,0.060199,0.13963,3.4997,0,0
1.3865,0.059052,0.13849,3.511,0,0
1.3998,0.057934,0.13737,3.5222,0,0
1.4131,0.056821,0.13624,3.5335,0,0
1.4258,0.055791,0.13516,3.5447,0,0
1.4386,0.054762,0.13407,3.556,0,0
1.4511,0.053766,0.133,3.5672,0,0
1.4633,0.052825,0.13197,3.5784,0,0
1.4754,0.051884,0.13093,3.5897,0,0
1.4869,0.051018,0.12995,3.6009,0,0
1.4981,0.050182,0.129,3.6122,0,0
1.5093,0.049353,0.12805,3.6234,0,0
1.5192,0.048638,0.1272,3.6347,0,0
1.5292,0.047923,0.12635,3.6459,0,0
1.5385,0.04726,0.12556,3.6572,0,0
1.5469,0.046677,0.12484,3.6684,0,0
1.5552,0.046093,0.12413,3.6797,0,0
1.5622,0.045618,0.12354,3.6909,0,0
1.5687,0.045182,0.123,3.7022,0,0
1.575,0.044761,0.12248,3.7134,0,0
1.579,0.044541,0.12228,3.7246,0,0
1.583,0.044321,0.12207,3.7359,0,0
