,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
343,1.5157,1.5328,380850.0,0,1.9714e-05,0.33795,188.15,-12.291,0,468.5,147260.0,-1165600.0,0,0,0,327.1,474.52,0,,25.073,16.973,0,0,159383.75988842468,159383.75988842468,6820.584812517693,347103.0145690578,1.000010949782512
344,1.5126,1.5666,380290.0,0,1.9691e-05,0.34932,193.93,-12.546,0,469.07,146720.0,-1166600.0,0,0,0,326.58,486.61,0,,25.146,17.046,0,0,159650.87239254342,159650.87239254342,6820.019945237217,347080.32138791267,1.0000065311817996
345,1.5094,1.6004,379730.0,0,1.9667e-05,0.3607,199.71,-12.801,0,469.64,146190.0,-1167500.0,0,0,0,326.07,498.71,0,,25.219,17.119,0,0,159954.9237767815,159954.9237767815,6819.468096381943,347084.64151633537,1.00000219922525
346,1.5063,1.6343,379180.0,0,1.9644e-05,0.37208,205.49,-13.057,0,470.22,145650.0,-1168500.0,0,0,0,325.56,510.81,0,,25.293,17.193,0,0,160273.34554879606,160273.34554879606,6818.93806602482,347104.8073112137,0.9999978689362028
347,1.5031,1.6681,378620.0,0,1.9621e-05,0.38346,211.27,-13.312,0,470.79,145110.0,-1169400.0,0,0,0,325.04,522.91,0,,25.366,17.266,0,0,160617.0207328276,160617.0207328276,6818.37752793806,347129.9912248667,0.9999934561116524
348,1.4999,1.7019,378060.0,0,1.9597e-05,0.39484,217.05,-13.567,0,471.37,144570.0,-1170400.0,0,0,0,324.53,535.01,0,,25.439,17.339,0,0,160985.95084488948,160985.95084488948,6817.850582343023,347181.54736731783,0.9999891306396285
349,1.4965,1.7312,377470.0,0,1.9569e-05,0.40697,222.98,-13.726,0,471.11,143970.0,-1171500.0,0,0,0,323.91,544.98,0,,25.512,17.412,0,0,161379.66749456534,161379.66749456534,6817.095378357255,347171.45696595515,0.9999838710761085
350,1.4928,1.7554,376860.0,0,1.9535e-05,0.41992,229.08,-13.779,0,469.93,143290.0,-1172700.0,0,0,0,323.17,552.6,0,,25.585,17.485,0,0,161786.78313111063,161786.78313111063,6816.120767584889,347095.5877112682,0.9999775888666194
351,1.489,1.7796,376240.0,0,1.9502e-05,0.43288,235.18,-13.832,0,468.75,142610.0,-1173900.0,0,0,0,322.43,560.22,0,,25.658,17.558,0,0,162226.52334795144,162226.52334795144,6815.147441199386,347039.5055005323,0.9999713036622541
352,1.4853,1.8038,375630.0,0,1.9468e-05,0.44583,241.28,-13.885,0,467.57,141930.0,-1175100.0,0,0,0,321.7,567.84,0,,25.731,17.631,0,0,162697.0091418499,162697.0091418499,6814.207832875407,347012.74411335395,0.999965102669637
353,1.4816,1.828,375010.0,0,1.9434e-05,0.45879,247.38,-13.938,0,466.39,141250.0,-1176300.0,0,0,0,320.96,575.46,0,,25.804,17.704,0,0,163200.17276826824,163200.17276826824,6813.237265854335,346994.68070291734,0.9999588125513954
354,1.4778,1.8523,374400.0,0,1.9401e-05,0.47174,253.49,-13.991,0,465.21,140570.0,-1177600.0,0,0,0,320.23,583.08,0,,25.877,17.777,0,0,163734.03588935046,163734.03588935046,6812.300644241564,347005.6447806219,0.9999526079674285
355,1.4741,1.8765,373780.0,0,1.9367e-05,0.4847,259.59,-14.044,0,464.03,139890.0,-1178800.0,0,0,0,319.49,590.7,0,,25.951,17.851,0,0,164300.66731603025,164300.66731603025,6811.332998372275,347024.9804558794,0.9999463137994156
356,1.4703,1.9007,373170.0,0,1.9333e-05,0.49765,265.69,-14.097,0,462.85,139210.0,-1180000.0,0,0,0,318.75,598.32,0,,26.024,17.924,0,0,164897.99232825096,164897.99232825096,6810.36683814536,347062.11825898505,0.9999400177131562
357,1.4666,1.9249,372550.0,0,1.9299e-05,0.51061,271.79,-14.15,0,461.67,138530.0,-1181200.0,0,0,0,318.02,605.94,0,,26.097,17.997,0,0,165528.2078958201,165528.2078958201,6809.434973242824,347129.168388736,0.9999338091928962
358,1.4625,1.9467,371870.0,0,1.9263e-05,0.52376,277.75,-14.151,0,460.25,137800.0,-1182500.0,0,0,0,317.23,612.61,0,,26.17,18.07,0,0,166151.9803316731,166151.9803316731,6808.415735799226,347161.7001767463,0.9999270868146406
359,1.4575,1.9623,370990.0,0,1.922e-05,0.53741,283.35,-14.023,0,458.21,136930.0,-1184100.0,0,0,0,316.3,616.85,0,,26.243,18.143,0,0,166696.6559325436,166696.6559325436,6807.24147276212,347093.8415337622,0.9999191779219211
360,1.4524,1.9779,370120.0,0,1.9177e-05,0.55105,288.95,-13.894,0,456.17,136070.0,-1185600.0,0,0,0,315.38,621.09,0,,26.316,18.216,0,0,167284.1940581155,167284.1940581155,6806.081447565088,347055.1442293377,0.9999113541545507
361,1.4474,1.9935,369250.0,0,1.9134e-05,0.5647,294.55,-13.766,0,454.12,135200.0,-1187100.0,0,0,0,314.45,625.33,0,,26.389,18.289,0,0,167892.4414897553,167892.4414897553,6804.913385497452,347024.78607177944,0.9999034467323166
362,1.4424,2.0091,368380.0,0,1.9092e-05,0.57835,300.15,-13.637,0,452.08,134340.0,-1188700.0,0,0,0,313.53,629.56,0,,26.462,18.362,0,0,168544.84296139088,168544.84296139088,6803.7596748231035,347023.9420133818,0.9998956253938716
363,1.4373,2.0247,367500.0,0,1.9049e-05,0.592,305.75,-13.509,0,450.04,133470.0,-1190200.0,0,0,0,312.6,633.8,0,,26.535,18.435,0,0,169216.35542820263,169216.35542820263,6802.598219649381,347030.2343833942,0.9998877216013039
364,1.4323,2.0403,366630.0,0,1.9006e-05,0.60565,311.36,-13.38,0,448.0,132610.0,-1191800.0,0,0,0,311.67,638.04,0,,26.608,18.508,0,0,169932.13643702207,169932.13643702207,6801.417805445232,347054.4924036416,0.999879811713936
