,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
789,1.2444,320660.0,0.60211,271.11,-1.4465,0,116440.0,2.2499e+17,315.04,,57.676,49.576,0,0,148788.8771418937,148788.8771418937,6851.31682310688,350570.88058186456,0.9999210336789152
790,1.2355,318680.0,0.61271,273.6,-1.4328,0,115350.0,2.0941e+17,314.34,,57.749,49.649,0,0,148639.13715054563,148639.13715054563,6851.797799027648,350632.41275477316,0.9999163018248253
791,1.2265,316680.0,0.62334,276.06,-1.4189,0,114240.0,1.9372e+17,313.63,,57.822,49.722,0,0,148472.58460853767,148472.58460853767,6852.319067194401,350696.1122268322,0.9999115582092531
792,1.2167,314500.0,0.63441,278.31,-1.4041,0,113060.0,1.7695e+17,312.86,,57.895,49.795,0,0,148272.69557221927,148272.69557221927,6852.847503938543,350739.5619161401,0.9999064559760094
793,1.207,312330.0,0.64548,280.56,-1.3892,0,111880.0,1.6019e+17,312.1,,57.968,49.868,0,0,148076.9387088298,148076.9387088298,6853.435442211986,350805.7522806744,0.9999014944883071
794,1.1972,310140.0,0.65655,282.79,-1.3734,0,110700.0,1.4338e+17,311.33,,58.041,49.941,0,0,147884.79726885664,147884.79726885664,6854.016869461674,350872.03178482736,0.9998965186269118
795,1.187,307810.0,0.66782,284.72,-1.3388,0,109460.0,1.2581e+17,310.48,,58.115,50.014,0,0,147640.17947672747,147640.17947672747,6854.520442118883,350876.1479158412,0.9998910405289674
796,1.1768,305480.0,0.67909,286.64,-1.3041,0,108220.0,1.0824e+17,309.63,,58.188,50.088,0,0,147397.15712220958,147397.15712220958,6855.054422259365,350891.35837275226,0.9998856357864587
797,1.1666,303160.0,0.69036,288.57,-1.2694,0,106990.0,9.0675e+16,308.78,,58.261,50.161,0,0,147168.8687460095,147168.8687460095,6855.591839070563,350917.5101309965,0.9998802950778348
798,1.1566,300930.0,0.70231,290.55,-1.218,0,105770.0,7.3408e+16,307.88,,58.334,50.234,0,0,147044.57986569905,147044.57986569905,6855.963466414641,350958.3808233391,0.9998746266662616
