"Mach","Pressure","Temperature","p","u","x","Points:0","Points:1","Points:2"
2.2417,70218,168.07,0.087397,592.6,0.75566,4.9118,0,0
2.2597,68247,166.72,0.084944,594.96,0.76691,4.9849,0,0
2.2769,66441,165.45,0.082696,597.2,0.77815,5.058,0,0
2.2952,64556,164.1,0.080351,599.53,0.7894,5.1311,0,0
2.3137,62702,162.74,0.078042,601.85,0.80065,5.2042,0,0
2.3321,60905,161.4,0.075806,604.15,0.81189,5.2773,0,0
2.3505,59160,160.07,0.073635,606.41,0.82314,5.3504,0,0
2.3678,57590,158.86,0.07168,608.54,0.83438,5.4235,0,0
2.3865,55922,157.53,0.069605,610.77,0.84563,5.4966,0,0
2.4043,54386,156.29,0.067693,612.91,0.85688,5.5697,0,0
2.4226,52855,155.03,0.065787,615.06,0.86812,5.6428,0,0
2.4412,51331,153.74,0.06389,617.22,0.87937,5.7159,0,0
2.4591,49924,152.53,0.062139,619.29,0.89062,5.789,0,0
2.4782,48439,151.23,0.06029,621.44,0.90186,5.8621,0,0
2.4962,47114,150.03,0.05864,623.47,0.91311,5.9352,0,0
2.5151,45743,148.78,0.056935,625.54,0.92435,6.0083,0,0
2.5334,44458,147.57,0.055335,627.55,0.9356,6.0814,0,0
2.5519,43197,146.37,0.053766,629.54,0.94685,6.1545,0,0
2.571,41926,145.13,0.052184,631.56,0.95809,6.2276,0,0
2.59,40704,143.91,0.050663,633.55,0.96934,6.3007,0,0
2.6088,39528,142.71,0.049199,635.5,0.98058,6.3738,0,0
2.6266,38462,141.6,0.047872,637.34,0.99183,6.4469,0,0
2.6459,37321,140.4,0.046452,639.27,1.0031,6.52,0,0
2.6637,36314,139.3,0.045198,641.07,1.0143,6.5931,0,0
2.6826,35263,138.15,0.04389,642.94,1.0256,6.6662,0,0
2.7007,34298,137.06,0.042689,644.71,1.0368,6.7393,0,0
2.7192,33330,135.95,0.041485,646.49,1.0481,6.8124,0,0
2.7379,32382,134.83,0.040304,648.26,1.0593,6.8855,0,0
2.7556,31516,133.8,0.039227,649.94,1.0706,6.9586,0,0
2.7736,30655,132.74,0.038155,651.62,1.0818,7.0317,0,0
2.7914,29831,131.72,0.03713,653.26,1.093,7.1048,0,0
2.8093,29026,130.7,0.036127,654.89,1.1043,7.1779,0,0
2.8278,28213,129.64,0.035115,656.54,1.1155,7.251,0,0
2.8456,27459,128.65,0.034178,658.12,1.1268,7.3241,0,0
2.8634,26722,127.65,0.03326,659.69,1.138,7.3972,0,0
2.8814,25998,126.66,0.032358,661.25,1.1493,7.4703,0,0
2.8988,25322,125.71,0.031517,662.74,1.1605,7.5434,0,0
2.9166,24643,124.74,0.030672,664.24,1.1718,7.6165,0,0
2.9342,23996,123.8,0.029867,665.71,1.183,7.6896,0,0
2.9509,23401,122.91,0.029126,667.1,1.1943,7.7627,0,0
2.9682,22797,122,0.028374,668.52,1.2055,7.8358,0,0
2.9849,22233,121.13,0.027672,669.88,1.2168,7.9089,0,0
3.0023,21653,120.23,0.02695,671.28,1.228,7.982,0,0
3.0199,21087,119.32,0.026247,672.67,1.2392,8.0551,0,0
3.0364,20575,118.49,0.025609,673.98,1.2505,8.1282,0,0
3.054,20036,117.6,0.024938,675.34,1.2617,8.2013,0,0
3.071,19537,116.75,0.024316,676.64,1.273,8.2744,0,0
3.0874,19068,115.95,0.023733,677.89,1.2842,8.3475,0,0
3.1039,18602,115.14,0.023154,679.14,1.2955,8.4206,0,0
3.1203,18152,114.34,0.022593,680.36,1.3067,8.4937,0,0
3.1362,17730,113.58,0.022068,681.54,1.318,8.5668,0,0
3.1529,17294,112.78,0.021526,682.74,1.3292,8.6399,0,0
3.1686,16900,112.03,0.021035,683.88,1.3405,8.713,0,0
3.1853,16488,111.25,0.020522,685.07,1.3517,8.7861,0,0
3.2013,16105,110.51,0.020045,686.21,1.363,8.8592,0,0
3.2182,15707,109.72,0.01955,687.39,1.3742,8.9323,0,0
3.2342,15344,108.99,0.019098,688.5,1.3854,9.0054,0,0
3.2508,14974,108.23,0.018637,689.63,1.3967,9.0785,0,0
3.2667,14632,107.52,0.018212,690.71,1.4079,9.1516,0,0
3.2823,14302,106.82,0.017801,691.76,1.4192,9.2247,0,0
3.2983,13971,106.11,0.017389,692.82,1.4304,9.2978,0,0
3.3134,13670,105.45,0.017015,693.81,1.4417,9.3709,0,0
3.3287,13368,104.78,0.016639,694.81,1.4529,9.444,0,0
3.3443,13068,104.11,0.016266,695.81,1.4642,9.5171,0,0
3.3593,12790,103.47,0.015919,696.78,1.4754,9.5902,0,0
3.3749,12503,102.8,0.015562,697.76,1.4867,9.6633,0,0
3.3905,12225,102.15,0.015216,698.74,1.4979,9.7364,0,0
3.4056,11963,101.52,0.01489,699.68,1.5092,9.8095,0,0
3.421,11699,100.87,0.014561,700.63,1.5204,9.8826,0,0
3.4364,11443,100.24,0.014242,701.57,1.5316,9.9557,0,0
3.4512,11204,99.639,0.013945,702.46,1.5429,10.029,0,0
3.4663,10964,99.026,0.013646,703.36,1.5541,10.102,0,0
3.4813,10730,98.421,0.013356,704.25,1.5654,10.175,0,0
3.4956,10515,97.851,0.013087,705.1,1.5766,10.248,0,0
3.5104,10296,97.265,0.012816,705.96,1.5879,10.321,0,0
3.5235,10104,96.752,0.012576,706.72,1.5991,10.394,0,0
3.5588,9727.4,95.346,0.012107,708.6,1.6104,10.467,0,0
0.54366,1.1575e+05,314.23,0.14407,196.32,1.6216,10.54,0,0
0.40374,1.423e+05,325.93,0.17711,148.63,1.6329,10.614,0,0
0.40612,1.4363e+05,325.83,0.17877,149.48,1.6441,10.687,0,0
0.39437,1.4489e+05,326.51,0.18034,145.31,1.6554,10.76,0,0
0.38328,1.4581e+05,327.04,0.18148,141.34,1.6666,10.833,0,0
0.37284,1.4672e+05,327.57,0.18261,137.6,1.6778,10.906,0,0
0.363,1.4756e+05,328.08,0.18366,134.07,1.6891,10.979,0,0
0.35373,1.4823e+05,328.51,0.1845,130.73,1.7003,11.052,0,0
0.3449,1.4894e+05,328.99,0.18538,127.56,1.7116,11.125,0,0
0.33657,1.4953e+05,329.41,0.18612,124.56,1.7228,11.198,0,0
0.32876,1.5002e+05,329.77,0.18673,121.74,1.7341,11.271,0,0
0.32144,1.5055e+05,330.15,0.18738,119.09,1.7453,11.345,0,0
0.31465,1.5105e+05,330.52,0.188,116.64,1.7566,11.418,0,0
0.30841,1.5141e+05,330.79,0.18845,114.38,1.7678,11.491,0,0
0.30241,1.5184e+05,331.11,0.18899,112.21,1.7791,11.564,0,0
0.2969,1.5215e+05,331.34,0.18937,110.2,1.7903,11.637,0,0
0.29163,1.525e+05,331.59,0.18981,108.29,1.8016,11.71,0,0
0.28677,1.5279e+05,331.79,0.19017,106.52,1.8128,11.783,0,0
0.28225,1.5306e+05,331.97,0.19051,104.86,1.824,11.856,0,0
0.27796,1.5333e+05,332.13,0.19084,103.3,1.8353,11.929,0,0
0.27399,1.5352e+05,332.25,0.19109,101.84,1.8465,12.002,0,0
0.27031,1.5376e+05,332.37,0.19138,100.49,1.8578,12.076,0,0
0.26681,1.54e+05,332.5,0.19167,99.206,1.869,12.149,0,0
0.26349,1.5422e+05,332.62,0.19195,97.991,1.8803,12.222,0,0
0.2604,1.5438e+05,332.7,0.19215,96.85,1.8915,12.295,0,0
0.25738,1.5457e+05,332.8,0.19239,95.744,1.9028,12.368,0,0
0.2545,1.5473e+05,332.87,0.19259,94.683,1.914,12.441,0,0
