"Pressure","Points:0","Points:1","Points:2"
1.4147,31.959,0,0
1.4189,32.032,0,0
1.4232,32.105,0,0
1.4274,32.178,0,0
1.4317,32.251,0,0
1.4359,32.324,0,0
1.4401,32.397,0,0
1.4444,32.471,0,0
1.4446,32.544,0,0
1.4424,32.617,0,0
1.4402,32.69,0,0
1.438,32.763,0,0
1.4358,32.836,0,0
1.4336,32.909,0,0
1.4314,32.982,0,0
1.4292,33.055,0,0
1.4271,33.128,0,0
1.4249,33.201,0,0
1.4225,33.275,0,0
1.4149,33.348,0,0
1.4072,33.421,0,0
1.3996,33.494,0,0
1.3919,33.567,0,0
1.3843,33.64,0,0
1.3766,33.713,0,0
1.369,33.786,0,0
1.3613,33.859,0,0
1.3536,33.932,0,0
1.346,34.006,0,0
1.3378,34.079,0,0
1.3285,34.152,0,0
1.3192,34.225,0,0
1.31,34.298,0,0
1.3007,34.371,0,0
1.2914,34.444,0,0
1.2822,34.517,0,0
1.2729,34.59,0,0
1.2636,34.664,0,0
1.2544,34.737,0,0
1.2451,34.81,0,0
1.2357,34.883,0,0
1.2262,34.956,0,0
1.2167,35.029,0,0
1.2071,35.102,0,0
1.1976,35.175,0,0
1.1881,35.248,0,0
1.1786,35.321,0,0
1.1691,35.395,0,0
1.1595,35.468,0,0
1.15,35.541,0,0
1.1405,35.614,0,0
1.1312,35.687,0,0
1.1219,35.76,0,0
1.1127,35.833,0,0
1.1034,35.906,0,0
1.0942,35.979,0,0
1.0849,36.052,0,0
1.0757,36.125,0,0
1.0664,36.199,0,0
1.0572,36.272,0,0
1.0479,36.345,0,0
1.0387,36.418,0,0
1.0299,36.491,0,0
1.0211,36.564,0,0
1.0124,36.637,0,0
1.0036,36.71,0,0
0.99489,36.783,0,0
0.98615,36.856,0,0
0.97741,36.93,0,0
0.96867,37.003,0,0
0.95993,37.076,0,0
0.95119,37.149,0,0
0.94245,37.222,0,0
0.93443,37.295,0,0
0.9265,37.368,0,0
0.91857,37.441,0,0
0.91063,37.514,0,0
0.9027,37.588,0,0
0.89477,37.661,0,0
0.88683,37.734,0,0
0.8789,37.807,0,0
0.87097,37.88,0,0
0.86303,37.953,0,0
0.8551,38.026,0,0
0.84812,38.099,0,0
0.84131,38.172,0,0
0.8345,38.245,0,0
0.82768,38.319,0,0
0.82087,38.392,0,0
0.81406,38.465,0,0
0.80724,38.538,0,0
0.80043,38.611,0,0
0.79362,38.684,0,0
0.7868,38.757,0,0
0.77999,38.83,0,0
0.77439,38.903,0,0
0.76923,38.976,0,0
0.76408,39.049,0,0
0.75893,39.123,0,0
0.75377,39.196,0,0
0.74862,39.269,0,0
0.74347,39.342,0,0
0.73831,39.415,0,0
0.73316,39.488,0,0
0.72801,39.561,0,0
0.72285,39.634,0,0
0.71902,39.707,0,0
0.71634,39.78,0,0
0.71366,39.854,0,0
0.71098,39.927,0,0
0.7083,40,0,0
0.70562,40.073,0,0
0.70295,40.146,0,0
0.70027,40.219,0,0
0.69759,40.292,0,0
0.69491,40.365,0,0
0.69223,40.438,0,0
0.69004,40.512,0,0
0.68926,40.585,0,0
0.68847,40.658,0,0
0.68768,40.731,0,0
0.6869,40.804,0,0
0.68611,40.877,0,0
0.68532,40.95,0,0
0.68454,41.023,0,0
0.68375,41.096,0,0
0.68296,41.169,0,0
0.68218,41.243,0,0
0.68139,41.316,0,0
0.68122,41.389,0,0
0.68111,41.462,0,0
0.68101,41.535,0,0
0.6809,41.608,0,0
0.68079,41.681,0,0
0.68069,41.754,0,0
0.68058,41.827,0,0
0.68047,41.9,0,0
0.68037,41.973,0,0
0.68026,42.047,0,0
0.68015,42.12,0,0
0.68156,42.193,0,0
0.68461,42.266,0,0
0.68765,42.339,0,0
0.69069,42.412,0,0
0.69374,42.485,0,0
0.69678,42.558,0,0
0.69982,42.631,0,0
0.70286,42.704,0,0
0.70591,42.778,0,0
0.70895,42.851,0,0
0.71199,42.924,0,0
0.71504,42.997,0,0
0.72105,43.07,0,0
0.72714,43.143,0,0
0.73324,43.216,0,0
0.73933,43.289,0,0
0.74542,43.362,0,0
0.75152,43.436,0,0
0.75761,43.509,0,0
0.76371,43.582,0,0
0.7698,43.655,0,0
0.7759,43.728,0,0
0.78199,43.801,0,0
0.7898,43.874,0,0
0.80034,43.947,0,0
0.81089,44.02,0,0
0.82143,44.093,0,0
0.83197,44.167,0,0
0.84252,44.24,0,0
0.85306,44.313,0,0
0.8636,44.386,0,0
0.87415,44.459,0,0
0.88469,44.532,0,0
0.89523,44.605,0,0
0.90578,44.678,0,0
0.91907,44.751,0,0
0.93342,44.824,0,0
0.94778,44.897,0,0
0.96213,44.971,0,0
0.97648,45.044,0,0
0.99084,45.117,0,0
1.0052,45.19,0,0
1.0195,45.263,0,0
1.0339,45.336,0,0
1.0483,45.409,0,0
1.0626,45.482,0,0
1.077,45.555,0,0
1.0901,45.628,0,0
1.1032,45.702,0,0
1.1163,45.775,0,0
1.1295,45.848,0,0
1.1426,45.921,0,0
1.1557,45.994,0,0
1.1688,46.067,0,0
1.1819,46.14,0,0
1.195,46.213,0,0
1.2081,46.286,0,0
1.2213,46.36,0,0
1.2335,46.433,0,0
1.2413,46.506,0,0
1.249,46.579,0,0
1.2568,46.652,0,0
1.2646,46.725,0,0
1.2723,46.798,0,0
1.2801,46.871,0,0
1.2878,46.944,0,0
1.2956,47.017,0,0
1.3034,47.09,0,0
1.3111,47.164,0,0
1.3189,47.237,0,0
1.3254,47.31,0,0
1.3281,47.383,0,0
1.3309,47.456,0,0
1.3336,47.529,0,0
1.3364,47.602,0,0
1.3391,47.675,0,0
1.3419,47.748,0,0
1.3447,47.821,0,0
1.3474,47.895,0,0
1.3502,47.968,0,0
1.3529,48.041,0,0
1.3557,48.114,0,0
1.3573,48.187,0,0
1.3556,48.26,0,0
1.3539,48.333,0,0
1.3523,48.406,0,0
1.3506,48.479,0,0
1.349,48.553,0,0
1.3473,48.626,0,0
1.3457,48.699,0,0
1.344,48.772,0,0
1.3423,48.845,0,0
1.3407,48.918,0,0
1.339,48.991,0,0
1.3367,49.064,0,0
1.3316,49.137,0,0
1.3265,49.21,0,0
1.3214,49.284,0,0
1.3162,49.357,0,0
1.3111,49.43,0,0
1.306,49.503,0,0
1.3009,49.576,0,0
1.2958,49.649,0,0
1.2907,49.722,0,0
1.2856,49.795,0,0
1.2805,49.868,0,0
1.2752,49.941,0,0
1.2674,50.014,0,0
1.2596,50.088,0,0
1.2518,50.161,0,0
1.244,50.234,0,0
1.2362,50.307,0,0
1.2284,50.38,0,0
1.2206,50.453,0,0
1.2128,50.526,0,0
1.205,50.599,0,0
1.1972,50.672,0,0
1.1894,50.745,0,0
1.1816,50.819,0,0
1.1729,50.892,0,0
1.164,50.965,0,0
1.1552,51.038,0,0
1.1463,51.111,0,0
1.1374,51.184,0,0
1.1285,51.257,0,0
1.1196,51.33,0,0
1.1107,51.403,0,0
1.1018,51.477,0,0
1.0929,51.55,0,0
1.084,51.623,0,0
1.0751,51.696,0,0
1.0664,51.769,0,0
1.0579,51.842,0,0
1.0494,51.915,0,0
1.0409,51.988,0,0
1.0324,52.061,0,0
1.0239,52.134,0,0
1.0154,52.208,0,0
1.0069,52.281,0,0
0.99837,52.354,0,0
0.98986,52.427,0,0
0.98136,52.5,0,0
0.97285,52.573,0,0
0.96448,52.646,0,0
0.95731,52.719,0,0
0.95013,52.792,0,0
0.94296,52.865,0,0
0.93578,52.938,0,0
0.9286,53.012,0,0
0.92143,53.085,0,0
0.91425,53.158,0,0
0.90708,53.231,0,0
0.8999,53.304,0,0
0.89273,53.377,0,0
0.88555,53.45,0,0
0.87838,53.523,0,0
0.87228,53.596,0,0
0.86687,53.669,0,0
0.86145,53.743,0,0
0.85604,53.816,0,0
0.85062,53.889,0,0
0.84521,53.962,0,0
0.83979,54.035,0,0
0.83438,54.108,0,0
0.82896,54.181,0,0
0.82354,54.254,0,0
0.81813,54.327,0,0
0.81271,54.401,0,0
0.8074,54.474,0,0
0.8042,54.547,0,0
0.801,54.62,0,0
0.79779,54.693,0,0
0.79459,54.766,0,0
0.79139,54.839,0,0
0.78819,54.912,0,0
0.78499,54.985,0,0
0.78178,55.058,0,0
0.77858,55.132,0,0
0.77538,55.205,0,0
0.77218,55.278,0,0
0.76897,55.351,0,0
0.76661,55.424,0,0
0.76553,55.497,0,0
0.76444,55.57,0,0
0.76336,55.643,0,0
0.76228,55.716,0,0
0.76119,55.789,0,0
0.76011,55.862,0,0
0.75902,55.936,0,0
0.75794,56.009,0,0
0.75686,56.082,0,0
0.75577,56.155,0,0
0.75469,56.228,0,0
0.7536,56.301,0,0
0.75321,56.374,0,0
0.75319,56.447,0,0
0.75317,56.52,0,0
0.75315,56.593,0,0
0.75314,56.667,0,0
0.75312,56.74,0,0
0.7531,56.813,0,0
0.75308,56.886,0,0
0.75306,56.959,0,0
0.75304,57.032,0,0
0.75302,57.105,0,0
0.753,57.178,0,0
0.75298,57.251,0,0
0.75415,57.325,0,0
0.75557,57.398,0,0
0.757,57.471,0,0
0.75842,57.544,0,0
0.75985,57.617,0,0
0.76127,57.69,0,0
