"Mach","p","tp","x","Points:0","Points:1","Points:2"
3.0582,0.024724,0.99448,1.3292,8.6399,0,0
3.0749,0.024112,0.99426,1.3405,8.713,0,0
3.0907,0.023551,0.99429,1.3517,8.7861,0,0
3.1076,0.022965,0.99409,1.363,8.8592,0,0
3.124,0.02241,0.99402,1.3742,8.9323,0,0
3.1403,0.021876,0.99402,1.3854,9.0054,0,0
3.1556,0.021386,0.99406,1.3967,9.0785,0,0
3.1717,0.020884,0.9939,1.4079,9.1516,0,0
3.1866,0.020429,0.99395,1.4192,9.2247,0,0
3.2022,0.019965,0.99382,1.4304,9.2978,0,0
3.2167,0.019543,0.99385,1.4417,9.3709,0,0
3.2315,0.019122,0.99375,1.4529,9.444,0,0
3.2465,0.018704,0.99361,1.4642,9.5171,0,0
3.2609,0.018316,0.9937,1.4754,9.5902,0,0
3.276,0.017917,0.99361,1.4867,9.6633,0,0
3.2909,0.01753,0.99358,1.4979,9.7364,0,0
3.3055,0.017163,0.99367,1.5092,9.8095,0,0
3.3205,0.016792,0.99352,1.5204,9.8826,0,0
3.3352,0.016436,0.99337,1.5316,9.9557,0,0
3.3492,0.016107,0.99342,1.5429,10.029,0,0
3.3635,0.015776,0.99336,1.5541,10.102,0,0
3.3777,0.015454,0.99329,1.5654,10.175,0,0
3.3912,0.015158,0.99336,1.5766,10.248,0,0
3.4049,0.014862,0.9933,1.5879,10.321,0,0
3.4185,0.014575,0.99322,1.5991,10.394,0,0
3.4313,0.01431,0.99332,1.6104,10.467,0,0
3.445,0.014031,0.99315,1.6216,10.54,0,0
3.4581,0.013772,0.9932,1.6329,10.614,0,0
3.4716,0.013508,0.99316,1.6441,10.687,0,0
3.4852,0.013248,0.99311,1.6554,10.76,0,0
3.4985,0.013001,0.99318,1.6666,10.833,0,0
3.5123,0.012746,0.99298,1.6778,10.906,0,0
3.5253,0.012517,0.99318,1.6891,10.979,0,0
3.5378,0.012289,0.99257,1.7003,11.052,0,0
3.5656,0.011959,1.0044,1.7116,11.125,0,0
2.5218,0.047599,0.69957,1.7228,11.198,0,0
0.58841,0.12669,0.16011,1.7341,11.271,0,0
0.35553,0.17303,0.18955,1.7453,11.345,0,0
0.3662,0.17588,0.19367,1.7566,11.418,0,0
0.36033,0.17676,0.19408,1.7678,11.491,0,0
0.35021,0.17785,0.19432,1.7791,11.564,0,0
0.3406,0.17901,0.1947,1.7903,11.637,0,0
0.33219,0.17989,0.1949,1.8016,11.71,0,0
0.32458,0.18074,0.19516,1.8128,11.783,0,0
0.31787,0.18146,0.19535,1.824,11.856,0,0
0.31185,0.18206,0.19549,1.8353,11.929,0,0
0.30631,0.18269,0.1957,1.8465,12.002,0,0
0.30167,0.18312,0.19579,1.8578,12.076,0,0
0.29736,0.18357,0.19592,1.869,12.149,0,0
0.2934,0.184,0.19606,1.8803,12.222,0,0
0.28995,0.18432,0.19613,1.8915,12.295,0,0
0.28676,0.18467,0.19626,1.9028,12.368,0,0
0.28386,0.18497,0.19635,1.914,12.441,0,0
0.2812,0.18522,0.19641,1.9253,12.514,0,0
0.27869,0.1855,0.19651,1.9365,12.587,0,0
0.27642,0.18571,0.19657,1.9478,12.66,0,0
0.27427,0.1859,0.19661,1.959,12.733,0,0
0.27225,0.18612,0.19669,1.9702,12.807,0,0
0.27036,0.1863,0.19674,1.9815,12.88,0,0
0.2686,0.18645,0.19677,1.9927,12.953,0,0
0.26691,0.18663,0.19684,2.004,13.026,0,0
0.26529,0.1868,0.1969,2.0152,13.099,0,0
0.26379,0.18693,0.19693,2.0265,13.172,0,0
0.26231,0.18708,0.19698,2.0377,13.245,0,0
0.26086,0.18724,0.19704,2.049,13.318,0,0
0.2595,0.18735,0.19707,2.0602,13.391,0,0
0.25815,0.18747,0.1971,2.0715,13.464,0,0
0.25681,0.18761,0.19715,2.0827,13.538,0,0
0.25549,0.18773,0.19719,2.094,13.611,0,0
0.2542,0.18784,0.19721,2.1052,13.684,0,0
0.25287,0.18797,0.19725,2.1164,13.757,0,0
0.25152,0.18811,0.19731,2.1277,13.83,0,0
0.25013,0.18823,0.19734,2.1389,13.903,0,0
0.24874,0.18833,0.19735,2.1502,13.976,0,0
0.24722,0.18847,0.1974,2.1614,14.049,0,0
0.24568,0.18862,0.19744,2.1727,14.122,0,0
0.24403,0.18873,0.19745,2.1839,14.195,0,0
0.24237,0.18883,0.19745,2.1952,14.269,0,0
0.24056,0.18898,0.19748,2.2064,14.342,0,0
0.23872,0.18914,0.19753,2.2177,14.415,0,0
0.2368,0.18926,0.19754,2.2289,14.488,0,0
0.23485,0.18938,0.19753,2.2402,14.561,0,0
0.23281,0.18952,0.19755,2.2514,14.634,0,0
0.23068,0.18969,0.19759,2.2626,14.707,0,0
0.2285,0.18984,0.19761,2.2739,14.78,0,0
