,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
77,5.8103,1534100.0,0.81991,1680.4,-1.2095,0,516430.0,5.9049e+18,299.26,,5.6287,-2.4713,0,0,3710.6139600819242,1.000017926727651
78,5.7487,1520000.0,0.83461,1688.8,-1.1033,0,508770.0,5.7962e+18,297.98,,5.7018,-2.3982,0,0,3710.5968783827066,1.0000190759343779
79,5.6866,1505800.0,0.84938,1696.4,-0.99823,0,501080.0,5.6871e+18,296.69,,5.7749,-2.3251,0,0,3710.6012869088695,0.9999885565730386
80,5.624,1491400.0,0.86423,1703.3,-0.89194,0,493380.0,5.5777e+18,295.37,,5.848,-2.252,0,0,3710.578072850122,1.0000308466282455
81,5.561,1476900.0,0.87915,1709.4,-0.7856,0,485660.0,5.468e+18,294.04,,5.9211,-2.1789,0,0,3710.5729401686094,1.0000381707935269
82,5.4977,1462300.0,0.89414,1714.8,-0.67967,0,477920.0,5.3582e+18,292.7,,5.9942,-2.1058,0,0,3710.581576402168,0.9999884780579325
83,5.4339,1447500.0,0.9092,1719.5,-0.57417,0,470180.0,5.2482e+18,291.33,,6.0673,-2.0327,0,0,3710.5648979853236,1.0000249871422708
84,5.3699,1432700.0,0.92433,1723.4,-0.46887,0,462440.0,5.1383e+18,289.96,,6.1404,-1.9596,0,0,3710.583806403348,0.9999876902561938
85,5.3056,1417700.0,0.93953,1726.6,-0.36276,0,454700.0,5.0284e+18,288.56,,6.2135,-1.8865,0,0,3710.5679333159205,0.99999509790835
86,5.241,1402700.0,0.95481,1729.1,-0.26492,0,446970.0,4.9187e+18,287.15,,6.2866,-1.8134,0,0,3710.5693510413535,0.9999975713194097
87,5.1762,1387500.0,0.97016,1730.8,-0.16487,0,439250.0,4.8091e+18,285.72,,6.3597,-1.7403,0,0,3710.5574950783785,1.0000083606663714
88,5.1112,1372300.0,0.98559,1731.9,-0.065131,0,431550.0,4.6996e+18,284.28,,6.4328,-1.6672,0,0,3710.55909299845,1.0000126406603058
89,5.046,1357000.0,1.0011,1732.2,0.035098,0,423860.0,4.5904e+18,282.82,,6.5059,-1.5941,0,0,3710.548942248123,1.0000198493063637
90,4.9806,1341600.0,1.0167,1731.9,0.13476,0,416180.0,4.4814e+18,281.34,,6.579,-1.521,0,0,3710.52773886474,1.000026731484893
91,4.915,1326100.0,1.0324,1730.8,0.23451,0,408520.0,4.3727e+18,279.85,,6.6521,-1.4479,0,0,3710.5227550940554,1.0000185141242213
92,4.8492,1310500.0,1.0482,1729.1,0.33846,0,400890.0,4.2642e+18,278.35,,6.7252,-1.3748,0,0,3710.5352094740006,1.00001715826791
93,4.7832,1294800.0,1.0641,1726.7,0.43814,0,393270.0,4.156e+18,276.83,,6.7983,-1.3017,0,0,3710.539568295251,1.0000061611181332
94,4.7169,1279100.0,1.0801,1723.6,0.53491,0,385660.0,4.0481e+18,275.29,,6.8714,-1.2286,0,0,3710.5430416167296,1.0000024008329174
95,4.6504,1263200.0,1.0962,1719.9,0.63297,0,378070.0,3.9403e+18,273.73,,6.9445,-1.1555,0,0,3710.540486173218,1.000007047358364
96,4.5837,1247200.0,1.1126,1715.4,0.73159,0,370490.0,3.8326e+18,272.15,,7.0176,-1.0824,0,0,3710.5329481968975,0.9999896769264541
97,4.5166,1231200.0,1.1291,1710.4,0.83098,0,362920.0,3.7251e+18,270.55,,7.0907,-1.0093,0,0,3710.5346951107763,0.9999891420500024
