,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
917,1.1442,310670.0,1.1135,428.01,-0.29862,0,92247.0,-1.1861e+17,271.45,,67.033,58.933,0,0,200061.38855220555,0.9995647814360948
918,1.17,316850.0,1.089,429.89,-0.1661,0,95149.0,-7.7402e+16,273.81,,67.106,59.006,0,0,200329.91650463545,0.9995786889062254
919,1.193,322300.0,1.0675,431.26,-0.098128,0,97741.0,-4.0603e+16,275.85,,67.179,59.079,0,0,200524.50582418713,0.9995909343677797
920,1.2129,327020.0,1.0488,432.2,-0.062667,0,100010.0,-8417200000000000.0,277.62,,67.252,59.152,0,0,200631.14153894485,0.9996019159120174
921,1.2293,330870.0,1.0335,432.75,-0.066703,0,101880.0,1.8159e+16,279.05,,67.325,59.225,0,0,200689.53377502557,0.9996109355520335
922,1.243,334120.0,1.0211,433.2,-0.21716,0,103450.0,4.05e+16,280.24,,67.398,59.298,0,0,200810.459948604,0.9996185873233723
923,1.2548,336890.0,1.01,433.37,-0.089824,0,104820.0,5.9905e+16,281.26,,67.471,59.371,0,0,200827.4167203586,0.9996251999496688
924,1.2659,339470.0,0.99953,433.41,-0.019415,0,106110.0,7.8235e+16,282.23,,67.544,59.444,0,0,200823.3569419916,0.9996316540461768
925,1.2765,341960.0,0.98942,433.38,0.017662,0,107360.0,9.5936e+16,283.17,,67.618,59.518,0,0,200815.36664970484,0.9996380161539299
926,1.2863,344230.0,0.97986,433.15,0.04651,0,108520.0,1.1247e+17,284.05,,67.691,59.591,0,0,200756.86466739498,0.9996440985429342
927,1.2961,346490.0,0.97036,432.89,0.070519,0,109680.0,1.2897e+17,284.92,,67.764,59.664,0,0,200703.77946962274,0.999650154591871
928,1.3059,348740.0,0.96098,432.58,0.085885,0,110840.0,1.4539e+17,285.77,,67.837,59.737,0,0,200670.15383307662,0.9996560707565104
