,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
104,4.0302,1113100.0,1.2523,1654.5,1.59,0,309410.0,2.9652e+18,258.49,,7.6024,-0.4976,0,0,794364.4138541477,0.9980073977540292
105,3.9587,1095600.0,1.271,1643.6,1.7016,0,301760.0,2.8565e+18,256.64,,7.6755,-0.4245,0,0,792181.8298330603,0.9979701789009503
106,3.8868,1077900.0,1.2901,1631.9,1.8123,0,294100.0,2.7478e+18,254.76,,7.7486,-0.3514,0,0,789765.607215416,0.9979335409672546
107,3.8144,1059900.0,1.3095,1619.5,1.9224,0,286450.0,2.6392e+18,252.85,,7.8217,-0.2783,0,0,787039.2792907307,0.9978974437880388
108,3.7416,1041900.0,1.3293,1606.4,2.0273,0,278820.0,2.5309e+18,250.9,,7.8948,-0.2052,0,0,784089.1629827855,0.9978614298264865
109,3.6686,1023700.0,1.3493,1592.5,2.128,0,271230.0,2.423e+18,248.93,,7.9679,-0.1321,0,0,780755.4995648387,0.9978263821428976
110,3.5954,1005400.0,1.3697,1577.9,2.2247,0,263670.0,2.3157e+18,246.92,,8.041,-0.059,0,0,777162.2030009411,0.997791508037074
111,3.5221,987060.0,1.3904,1562.6,2.3154,0,256170.0,2.2092e+18,244.89,,8.1141,0.0141,0,0,773275.866972957,0.9977576002766445
112,3.4489,968650.0,1.4113,1546.6,2.3984,0,248740.0,2.1037e+18,242.84,,8.1872,0.0872,0,0,769013.4222033313,0.9977246420102528
113,3.376,950260.0,1.4325,1530.1,2.4732,0,241410.0,1.9995e+18,240.77,,8.2603,0.1603,0,0,764535.7927482574,0.9976924158497016
114,3.3036,931940.0,1.4538,1513.0,2.541,0,234190.0,1.897e+18,238.68,,8.3334,0.2334,0,0,759687.3772496894,0.997660855966279
115,3.2319,913710.0,1.4753,1495.4,2.6034,0,227100.0,1.7964e+18,236.59,,8.4065,0.3065,0,0,754611.7100660502,0.9976307545631621
116,3.161,895630.0,1.4969,1477.4,2.6592,0,220150.0,1.6977e+18,234.49,,8.4796,0.3796,0,0,749254.6870440354,0.9976015189438503
117,3.0909,877700.0,1.5186,1459.0,2.713,0,213340.0,1.601e+18,232.4,,8.5527,0.4527,0,0,743618.3701363889,0.9975741189928352
118,3.0216,859910.0,1.5404,1440.2,2.7658,0,206680.0,1.5063e+18,230.29,,8.6258,0.5258,0,0,737741.5595062437,0.9975469474028839
119,2.9532,842280.0,1.5623,1421.0,2.8181,0,200150.0,1.4136e+18,228.19,,8.6989,0.5989,0,0,731558.1400302447,0.9975216976783795
120,2.8855,824780.0,1.5844,1401.6,2.8703,0,193750.0,1.3228e+18,226.08,,8.772,0.672,0,0,725148.4813640574,0.9974973773135891
121,2.8185,807400.0,1.6066,1381.7,2.9222,0,187480.0,1.2338e+18,223.96,,8.8451,0.7451,0,0,718436.3327204825,0.9974739767145805
122,2.7522,790140.0,1.6291,1361.6,2.9742,0,181330.0,1.1464e+18,221.83,,8.9182,0.8182,0,0,711536.811076469,0.9974516239660819
123,2.6865,772990.0,1.6518,1341.1,3.0229,0,175300.0,1.0608e+18,219.69,,8.9913,0.8913,0,0,704371.4087863691,0.9974303228544243
124,2.6213,755900.0,1.6748,1320.2,3.064,0,169360.0,9.765e+17,217.54,,9.0644,0.9644,0,0,696888.3392590493,0.9974105330089745
125,2.556,738750.0,1.6985,1298.9,3.0952,0,163480.0,8.929e+17,215.34,,9.1375,1.0375,0,0,689229.6465471068,0.9973907647503886
126,2.4911,721650.0,1.7227,1277.3,3.1136,0,157670.0,8.1038e+17,213.09,,9.2106,1.1106,0,0,681261.4467550956,0.9973709573630463
127,2.4289,705140.0,1.7457,1255.8,3.0784,0,152200.0,7.3272e+17,210.98,,9.2837,1.1837,0,0,673007.0709746127,0.997356225766909
128,2.3693,689290.0,1.7681,1234.7,3.5643,0,147030.0,6.5935e+17,208.93,,9.3568,1.2568,0,0,664813.2459051388,0.9973427908782452
129,2.3051,672070.0,1.7933,1211.6,3.7232,0,141460.0,5.8025e+17,206.62,,9.4299,1.3299,0,0,655725.9895976096,0.9973269915698011
130,2.2396,654820.0,1.8211,1188.3,3.9088,0,135820.0,5.0014e+17,204.18,,9.503,1.403,0,0,646894.976743941,0.9973101735069636
131,2.172,636520.0,1.8481,1162.6,3.7466,0,130150.0,4.1965e+17,201.76,,9.5761,1.4761,0,0,636255.2803432819,0.9972997638650528
132,2.1116,620370.0,1.8739,1139.7,4.5201,0,125120.0,3.4825e+17,199.51,,9.6492,1.5492,0,0,626921.7466984269,0.9972895357428908
133,2.051,603900.0,1.9004,1116.0,4.1083,0,120110.0,2.7701e+17,197.18,,9.7223,1.6223,0,0,617078.7682836422,0.9972790977245255
134,1.9971,589520.0,1.9248,1094.9,5.4981,0,115750.0,2.1509e+17,195.14,,9.7954,1.6954,0,0,608406.7450899986,0.9972731911792025
135,1.9499,576990.0,1.949,1076.7,5.3328,0,111880.0,1.6013e+17,193.14,,9.8685,1.7685,0,0,601394.3490129194,0.9972612186366403
136,1.9033,564580.0,1.9727,1058.6,5.1746,0,108070.0,1.0614e+17,191.18,,9.9416,1.8416,0,0,593683.6771600889,0.9972529959062553
137,1.8624,553230.0,1.991,1041.0,5.0841,0,104900.0,6.1113e+16,189.62,,10.015,1.9147,0,0,585947.0572081939,0.9972523960350657
138,1.8269,543320.0,2.0064,1025.6,4.9116,0,102170.0,2.2259e+16,188.3,,10.088,1.9878,0,0,578700.3114450622,0.9972550602233907
139,1.8179,540440.0,2.0074,1020.6,4.336,0,101570.0,1.3799e+16,188.13,,10.161,2.0609,0,0,575824.1377133651,0.9972622315367138
140,1.8088,537560.0,2.0084,1015.6,3.7604,0,100980.0,5340300000000000.0,187.96,,10.234,2.134,0,0,572998.7482385547,0.997269208083789
141,1.7998,534680.0,2.0095,1010.6,3.1848,0,100380.0,-3119000000000000.0,187.79,,10.307,2.2071,0,0,570162.1222907791,0.9972765300193521
142,1.7939,532680.0,2.0103,1007.2,2.5779,0,99963.0,-9038800000000000.0,187.62,,10.38,2.2802,0,0,568204.6643208965,0.9972789489148097
143,1.7959,532870.0,2.0105,1008.0,1.8944,0,99986.0,-8723300000000000.0,187.46,,10.453,2.3533,0,0,568436.2499230395,0.9972699257931316
144,1.7979,533060.0,2.0108,1008.8,1.2108,0,100010.0,-8407800000000000.0,187.29,,10.526,2.4264,0,0,568724.574736834,0.9972603166798258
